gene,p_value,slope,ctrl,condition,p_value_adj,age_group,dataset,comparison,cell_type
CENPS,0.6203432124854469,0.01635359900475127,PBS,IL-10,0.6623213246085222,All age groups,parsebioscience,IL-10,CD4T
CENPX,1.145874689136e-12,-0.7828088550037631,PBS,IL-10,1.0386013139828426e-11,All age groups,parsebioscience,IL-10,CD4T
CGGBP1,9.752139604152411e-05,0.14881295171989556,PBS,IL-10,0.00021195976894739424,All age groups,parsebioscience,IL-10,CD4T
CHCHD3,7.918224053593651e-07,-0.3090916720825553,PBS,IL-10,2.6771138466911867e-06,All age groups,parsebioscience,IL-10,CD4T
CLOCK,0.006032702832449813,0.24434972952286332,PBS,IL-10,0.008398468649096798,All age groups,parsebioscience,IL-10,CD4T
CREB1,6.181552629410903e-05,0.20025012029854772,PBS,IL-10,0.00014209450931288578,All age groups,parsebioscience,IL-10,CD4T
CREB3,0.00013089364946718704,-0.1730284747777938,PBS,IL-10,0.0002760430429357509,All age groups,parsebioscience,IL-10,CD4T
CREB3L2,0.004299773813554377,-0.14830656680814994,PBS,IL-10,0.006085394168020481,All age groups,parsebioscience,IL-10,CD4T
CREBL2,0.6467124129858766,0.016432253179998933,PBS,IL-10,0.6853221092835409,All age groups,parsebioscience,IL-10,CD4T
CREBZF,1.6793336570712287e-09,0.17108711457137302,PBS,IL-10,8.832051085337573e-09,All age groups,parsebioscience,IL-10,CD4T
CREM,0.028456087225153175,0.13405967952633302,PBS,IL-10,0.036403282756502266,All age groups,parsebioscience,IL-10,CD4T
CSRNP1,0.01611792179144725,-0.15815439454046873,PBS,IL-10,0.020997659581518436,All age groups,parsebioscience,IL-10,CD4T
CTCF,0.8479454972849455,0.009657321659397854,PBS,IL-10,0.870421161068402,All age groups,parsebioscience,IL-10,CD4T
CUX1,0.07742614090850938,0.06879861835941956,PBS,IL-10,0.09397018811118232,All age groups,parsebioscience,IL-10,CD4T
CXXC1,0.09905921593912362,0.052724352199542364,PBS,IL-10,0.11722007219462961,All age groups,parsebioscience,IL-10,CD4T
DBP,0.0005500077115469415,-0.129543834216265,PBS,IL-10,0.000980348473301243,All age groups,parsebioscience,IL-10,CD4T
DDIT3,0.05037469797513733,-0.11585399710977522,PBS,IL-10,0.06238262016688518,All age groups,parsebioscience,IL-10,CD4T
DEAF1,0.020079528072403905,0.09508440200935019,PBS,IL-10,0.025920845329830498,All age groups,parsebioscience,IL-10,CD4T
DMTF1,6.173111153135761e-07,0.3723681327117565,PBS,IL-10,2.1555289764228147e-06,All age groups,parsebioscience,IL-10,CD4T
DNMT1,7.202389959195404e-13,-0.8621471623901354,PBS,IL-10,6.818262494704982e-12,All age groups,parsebioscience,IL-10,CD4T
DNTTIP1,0.19921952454976766,0.046595246470866915,PBS,IL-10,0.2293716688059487,All age groups,parsebioscience,IL-10,CD4T
DR1,4.590637905073165e-16,-0.7101430787534738,PBS,IL-10,8.310535186745993e-15,All age groups,parsebioscience,IL-10,CD4T
DRAP1,1.2487943423946611e-18,-1.7966018074142465,PBS,IL-10,7.599805569430366e-17,All age groups,parsebioscience,IL-10,CD4T
E2F2,0.0007761462408488925,-0.15567156404197674,PBS,IL-10,0.0013278646530185871,All age groups,parsebioscience,IL-10,CD4T
E2F3,7.045569633280158e-07,-0.17609283239227352,PBS,IL-10,2.4245252074483764e-06,All age groups,parsebioscience,IL-10,CD4T
E2F4,2.4486884559170166e-06,-0.27831725607700863,PBS,IL-10,7.784636434482455e-06,All age groups,parsebioscience,IL-10,CD4T
EEA1,9.07592803254019e-09,0.23115454544051622,PBS,IL-10,4.069837201960127e-08,All age groups,parsebioscience,IL-10,CD4T
EGR1,1.0873782288874093e-05,-0.21136564048628792,PBS,IL-10,3.0079423734158206e-05,All age groups,parsebioscience,IL-10,CD4T
ELF1,0.0054761799399733494,0.18734773828199644,PBS,IL-10,0.007699183677982333,All age groups,parsebioscience,IL-10,CD4T
ELF2,6.889581806290634e-05,0.21098777724555212,PBS,IL-10,0.00015447167628841106,All age groups,parsebioscience,IL-10,CD4T
ELF4,0.028547363237410382,0.1533235792638745,PBS,IL-10,0.03641070879981085,All age groups,parsebioscience,IL-10,CD4T
ELK3,6.241303958102147e-05,-0.21800229779885283,PBS,IL-10,0.00014209450931288578,All age groups,parsebioscience,IL-10,CD4T
ELK4,0.00020591173317071322,0.12598233758951585,PBS,IL-10,0.000415727006306748,All age groups,parsebioscience,IL-10,CD4T
EOMES,0.03576178156612589,-0.17682333533379432,PBS,IL-10,0.04493958391495465,All age groups,parsebioscience,IL-10,CD4T
ESR2,0.01513218536058213,0.16462826006419917,PBS,IL-10,0.019773960011067442,All age groups,parsebioscience,IL-10,CD4T
ETS1,3.221225614411289e-11,0.6958721146247322,PBS,IL-10,2.144128299592514e-10,All age groups,parsebioscience,IL-10,CD4T
ETV3,0.03748211696864044,0.12501884249724804,PBS,IL-10,0.04696288773129655,All age groups,parsebioscience,IL-10,CD4T
ETV6,0.9988916475880796,-6.779773822042216e-05,PBS,IL-10,0.9988916475880796,All age groups,parsebioscience,IL-10,CD4T
ETV7,3.153629180584909e-18,-0.6986328574784431,PBS,IL-10,1.4927178121435237e-16,All age groups,parsebioscience,IL-10,CD4T
FAM200B,0.5955431552836616,-0.013731691924228519,PBS,IL-10,0.6385139469528152,All age groups,parsebioscience,IL-10,CD4T
FLI1,1.0703258850002796e-16,-0.625507102179242,PBS,IL-10,2.5331045945006617e-15,All age groups,parsebioscience,IL-10,CD4T
FOS,0.6926836461672026,0.026076414862980957,PBS,IL-10,0.7304040427406641,All age groups,parsebioscience,IL-10,CD4T
FOSB,0.0031234432820271708,0.20604414535915766,PBS,IL-10,0.004525805571916921,All age groups,parsebioscience,IL-10,CD4T
FOSL2,0.9944122663314182,0.00041836793921062887,PBS,IL-10,0.9967520598992569,All age groups,parsebioscience,IL-10,CD4T
FOXJ2,0.0006958358484900391,0.17710649365391776,PBS,IL-10,0.001209902332476558,All age groups,parsebioscience,IL-10,CD4T
FOXJ3,0.0026262027174945198,0.20535494195538456,PBS,IL-10,0.0038845915196273105,All age groups,parsebioscience,IL-10,CD4T
FOXK1,0.5172251370591914,0.014867545435549034,PBS,IL-10,0.5635240623713952,All age groups,parsebioscience,IL-10,CD4T
FOXN2,0.10004338665044145,0.12050226083682108,PBS,IL-10,0.117730615229525,All age groups,parsebioscience,IL-10,CD4T
FOXN3,1.2722026975965808e-17,0.3717168462584747,PBS,IL-10,4.926894083419485e-16,All age groups,parsebioscience,IL-10,CD4T
FOXO1,1.2854315211070797e-08,0.3907565021482091,PBS,IL-10,5.5312507877941006e-08,All age groups,parsebioscience,IL-10,CD4T
FOXO3,0.0008948698744049258,0.30244707439371565,PBS,IL-10,0.0015067769426739066,All age groups,parsebioscience,IL-10,CD4T
FOXP1,1.7581794459302546e-17,1.3005123820339368,PBS,IL-10,5.761418799740681e-16,All age groups,parsebioscience,IL-10,CD4T
FOXP3,6.0655744128204615e-06,-0.325348639895195,PBS,IL-10,1.7459018242307543e-05,All age groups,parsebioscience,IL-10,CD4T
GATA3,8.414441003875654e-19,-1.0844841644070786,PBS,IL-10,7.599805569430366e-17,All age groups,parsebioscience,IL-10,CD4T
GATAD2A,0.0021458979310001614,0.17495060034125917,PBS,IL-10,0.003230220913802363,All age groups,parsebioscience,IL-10,CD4T
GATAD2B,0.0016287149306960323,0.2886413502004385,PBS,IL-10,0.002510851204691411,All age groups,parsebioscience,IL-10,CD4T
GFI1,0.06490546560894296,0.08799610943809937,PBS,IL-10,0.07968221426342853,All age groups,parsebioscience,IL-10,CD4T
GLIS3,0.40260346397327273,0.03529076553511719,PBS,IL-10,0.44432403018811967,All age groups,parsebioscience,IL-10,CD4T
GLYR1,6.270837500193082e-05,0.21367166916314767,PBS,IL-10,0.00014209450931288578,All age groups,parsebioscience,IL-10,CD4T
GMEB1,4.612579512741165e-05,0.13290180136314036,PBS,IL-10,0.0001091643818015409,All age groups,parsebioscience,IL-10,CD4T
