gene,p_value,slope,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ADNP,8.020507212949979e-07,-0.15717985642959567,1.1324636430244988e-06,healthy,aging,onek1k,CD4T,7.88487911714333e-16,1.4113271024802802e-15,14.850372318394138,Inconsistent
ADNP2,1.6875718347245317e-09,0.1913271393942907,3.2162243486902513e-09,healthy,aging,onek1k,CD4T,6.01119912759896e-10,7.95270443589179e-10,9.099485157902647,Inconsistent
AEBP1,2.0649598558172298e-07,-0.16530338930949945,3.090168798318038e-07,healthy,aging,onek1k,CD4T,7.22841580383612e-33,5.30914678005894e-32,31.274975267710555,Decrease in aging
AEBP2,7.581356900403678e-11,0.20635595732105508,1.80004283948132e-10,healthy,aging,onek1k,CD4T,5.31818169131388e-18,1.07371819928896e-17,16.969109685631334,Inconsistent
AHCTF1,4.0731365903358647e-10,0.19835869760846436,8.444307565330451e-10,healthy,aging,onek1k,CD4T,1.4917408852396e-12,2.26957720397168e-12,11.644055039319637,Inconsistent
AHR,3.096453769988597e-14,0.23983602141655563,1.9072360177465997e-13,healthy,aging,onek1k,CD4T,2.42303539933511e-22,7.02185768786908e-22,21.15354797663647,Increase in aging
AIRE,8.77442840241598e-13,0.22613662541861004,3.3901200645698104e-12,healthy,aging,onek1k,CD4T,1.3249230427696901e-44,6.27130240244322e-43,42.20264225702309,Increase in aging
AKAP8,1.2634946515345168e-11,0.21453660071224245,3.5561935556435076e-11,healthy,aging,onek1k,CD4T,1.3378115874805e-11,1.9450775981798398e-11,10.711063067968572,Inconsistent
AKAP8L,9.976652398285504e-15,0.2442873232450446,7.851994943095074e-14,healthy,aging,onek1k,CD4T,1.2337220708164801e-23,4.1059812669360995e-23,22.38658303637917,Increase in aging
AKNA,1.9141404693712613e-09,0.19069108697117707,3.615598664367938e-09,healthy,aging,onek1k,CD4T,1.83868823768935e-14,3.01261995867563e-14,13.521055651021674,Inconsistent
ANKZF1,0.253769628027287,0.036564877356107715,0.2636970462386234,healthy,aging,onek1k,CD4T,6.67112430961315e-06,7.14044963792764e-06,5.146274439607242,Inconsistent
ARHGAP35,4.718235098038556e-14,0.23815755853090342,2.746917694063543e-13,healthy,aging,onek1k,CD4T,1.4453057881614e-28,7.3297650685328e-28,27.134909945014385,Increase in aging
ARID2,1.5758539162183484e-10,0.20291593178579068,3.5249363915410424e-10,healthy,aging,onek1k,CD4T,5.61225883416041e-12,8.3888500468503e-12,11.07629756867502,Inconsistent
ARID3B,7.139394781454336e-12,0.21707466490828664,2.1829084763439517e-11,healthy,aging,onek1k,CD4T,9.32606947131038e-21,2.33700329104601e-20,19.631340676019363,Increase in aging
ARID5A,2.208298427144777e-10,0.20130889092984822,4.82971513854792e-10,healthy,aging,onek1k,CD4T,2.67459884302781e-10,3.64018884067044e-10,9.438876086039452,Inconsistent
ARID5B,1.2526703964456506e-19,0.2844933620367868,4.0952686037646265e-18,healthy,aging,onek1k,CD4T,1.85049002406717e-30,1.06528209493596e-29,28.972535372458548,Increase in aging
ARNT,4.348439419288883e-11,0.20892984872831483,1.0621188236768823e-10,healthy,aging,onek1k,CD4T,1.8448313542560201e-19,4.1803093452822604e-19,18.378791578995756,Increase in aging
ASH1L,0.0062669187747633765,0.08744093745994864,0.007046138834059352,healthy,aging,onek1k,CD4T,4.41135658438074e-06,4.78177583955775e-06,5.320410786631981,Inconsistent
ATF1,0.447128012643788,0.02436139330580263,0.45680145522502374,healthy,aging,onek1k,CD4T,1.6402077543153e-09,2.1109622457351e-09,8.675519533919031,Increase in aging
ATF2,1.8013562847500155e-11,0.2129436131605912,4.845420386194662e-11,healthy,aging,onek1k,CD4T,5.65465130977704e-20,1.3382674766472301e-19,18.873457076386977,Increase in aging
ATF3,4.054276277391581e-12,0.21955992431374646,1.2858712073816581e-11,healthy,aging,onek1k,CD4T,4.50073606172225e-19,9.98600813694623e-19,18.00060808440254,Inconsistent
ATF4,2.2520561907345054e-14,0.2410965130820663,1.5192442556542299e-13,healthy,aging,onek1k,CD4T,7.996366730109661e-15,1.3411229240262701e-14,13.872531413960743,Increase in aging
ATF6,2.953076112204258e-05,0.13327816174813226,3.746439843841223e-05,healthy,aging,onek1k,CD4T,1.55604842639171e-08,1.92138153519672e-08,7.716386387258123,Inconsistent
ATF6B,0.002932363815587043,0.09512503506974847,0.0033233456576653156,healthy,aging,onek1k,CD4T,8.14144905778169e-10,1.06715609188154e-09,8.971772052098675,Increase in aging
ATF7,1.1322018681383253e-11,0.21502688480085905,3.207905293058588e-11,healthy,aging,onek1k,CD4T,2.88337168726341e-26,1.14795919511609e-25,24.940073548916157,Increase in aging
BACH1,1.3782010103574173e-16,0.26036459384510385,2.0919122478639367e-15,healthy,aging,onek1k,CD4T,1.7443925959517201e-15,3.0707076275844403e-15,14.512761532228842,Inconsistent
BACH2,1.509568635420726e-08,-0.17993708151170645,2.5765729721036486e-08,healthy,aging,onek1k,CD4T,1.5385071605443098e-28,7.6319610222882e-28,27.117363856313446,Decrease in aging
BATF,1.2331017313211904e-08,0.18101919885283724,2.1252550223095618e-08,healthy,aging,onek1k,CD4T,1.65685238866557e-30,9.66875503522651e-30,29.014629442787662,Increase in aging
BAZ2A,6.6131992163306e-19,0.2789756100098013,1.6532998040826502e-17,healthy,aging,onek1k,CD4T,2.63463798742977e-20,6.413461615114761e-20,19.192907500191577,Inconsistent
BAZ2B,1.2821164595835538e-12,0.22452610512719998,4.7382564810696555e-12,healthy,aging,onek1k,CD4T,5.4313999208126496e-18,1.09140394635198e-17,16.962014480206722,Increase in aging
BBX,8.657593731234161e-21,0.2931051003815214,3.6794773357745186e-19,healthy,aging,onek1k,CD4T,3.3494589473803202e-21,8.75380068456452e-21,20.057803346068717,Inconsistent
BCL11B,6.2692549286299e-05,-0.12775340566273796,7.768027243929176e-05,healthy,aging,onek1k,CD4T,1.7141612297367502e-14,2.819431211845e-14,13.549838496812663,Decrease in aging
BHLHE40,1.5486028879713804e-13,0.23335041825848013,7.479048038498144e-13,healthy,aging,onek1k,CD4T,2.33390994469418e-24,8.4258104783027e-24,23.074388313682114,Increase in aging
BPTF,4.892575359086703e-07,0.1601861015843101,7.024812593283274e-07,healthy,aging,onek1k,CD4T,1.43149925472552e-08,1.7778970335658e-08,7.7500933946869965,Inconsistent
CAMTA1,6.102150233899733e-09,0.1847322793803912,1.0672484976985129e-08,healthy,aging,onek1k,CD4T,3.8790880991942104e-31,2.4664052690399e-30,29.607935560486986,Increase in aging
CC2D1A,2.3100361790713583e-10,0.20109336604681147,5.009007020945547e-10,healthy,aging,onek1k,CD4T,1.65134138102274e-36,1.9012741305829302e-35,34.720955260927106,Increase in aging
CDC5L,7.541963268595945e-07,0.15755708791460535,1.0684447963844254e-06,healthy,aging,onek1k,CD4T,8.44251044401385e-25,3.15483285013149e-24,23.50102364567137,Increase in aging
CEBPB,6.60985364067334e-13,0.22733161461345328,2.601099812302009e-12,healthy,aging,onek1k,CD4T,1.9469713157323e-21,5.15161354349043e-21,20.288056723719805,Increase in aging
CEBPD,4.530209937643632e-06,0.14617477645606772,6.016685073432949e-06,healthy,aging,onek1k,CD4T,8.87298685595476e-10,1.15458872865897e-09,8.937572686491906,Increase in aging
CEBPG,6.900922673059758e-12,0.2172247260527762,2.1252841565582588e-11,healthy,aging,onek1k,CD4T,7.91482018758284e-39,1.46596234778708e-37,36.83387718410028,Increase in aging
CEBPZ,2.159115099520851e-07,0.16504272859568445,3.219733043145129e-07,healthy,aging,onek1k,CD4T,8.77741921418769e-08,1.04155448056935e-07,6.98231800848933,Inconsistent
CENPS,5.199776097719369e-05,0.12914678723276823,6.518893337848767e-05,healthy,aging,onek1k,CD4T,1.20616500240492e-06,1.3415830052859e-06,5.8723824518609025,Inconsistent
CENPX,0.001382571974704058,0.10223662675503034,0.00158808943040331,healthy,aging,onek1k,CD4T,3.66140065050558e-11,5.21657751543604e-11,10.282614334859884,Increase in aging
CGGBP1,0.008083315172842819,0.08473473067461947,0.00901682138702939,healthy,aging,onek1k,CD4T,1.38961585116027e-06,1.54160508488092e-06,5.812026865859036,Inconsistent
CHCHD3,1.3916400232716155e-07,0.1675928449364745,2.127507229821714e-07,healthy,aging,onek1k,CD4T,1.4337957789477e-23,4.6625725330665704e-23,22.331374399051235,Increase in aging
CLOCK,1.9655183327473558e-10,0.20186508417639468,4.3507567261334697e-10,healthy,aging,onek1k,CD4T,1.20538065989455e-26,5.03423687367723e-26,25.298066353644494,Increase in aging
CREB1,1.514820335151456e-12,0.2238139247217683,5.36498868699474e-12,healthy,aging,onek1k,CD4T,1.55543216802555e-19,3.56330083822056e-19,18.44814750999148,Inconsistent
CREB3,2.2159869459219868e-10,0.20129226839491485,4.82971513854792e-10,healthy,aging,onek1k,CD4T,4.20994921546298e-41,1.19562557719148e-39,38.92240480297174,Increase in aging
CREB3L2,1.0536627075029737e-11,0.21534750283679477,3.025720612761918e-11,healthy,aging,onek1k,CD4T,9.859796603357959e-36,9.76807756518719e-35,34.01019090045558,Increase in aging
CREBL2,5.67544162701616e-09,0.18511060827547415,1.000855888581688e-08,healthy,aging,onek1k,CD4T,4.8044719006969e-39,1.02335251484844e-37,36.98997473883718,Increase in aging
CREBZF,3.134199850938411e-19,-0.28146728603651305,8.325218354055155e-18,healthy,aging,onek1k,CD4T,2.3912575700911002e-24,8.56030020889753e-24,23.06751100439044,Inconsistent
CREM,3.1403795169108504e-09,0.18817014882762925,5.752850408134101e-09,healthy,aging,onek1k,CD4T,4.998707368653311e-09,6.318840768683411e-09,8.19936258848052,Inconsistent
CSRNP1,6.484739790351389e-10,0.19608691028366895,1.3000067975940283e-09,healthy,aging,onek1k,CD4T,1.20703547840363e-10,1.68038272483643e-10,9.774591791872666,Inconsistent
CTCF,6.645509570646211e-14,0.23678307178019348,3.5751159082590373e-13,healthy,aging,onek1k,CD4T,1.37378278117665e-26,5.62722562289666e-26,25.249705671514818,Inconsistent
CUX1,0.0005063288647863986,0.11110599825284828,0.0006044656391410658,healthy,aging,onek1k,CD4T,7.7308059608394e-06,8.19234661521788e-06,5.086591681137296,Inconsistent
CXXC1,1.3214932011187796e-11,0.21433570365994703,3.694964542601851e-11,healthy,aging,onek1k,CD4T,3.11696878895729e-26,1.22947102231093e-25,24.910281702792503,Inconsistent
DBP,0.8642822685981456,0.0054781742554607035,0.8683687095844252,healthy,aging,onek1k,CD4T,0.0015213618639138,0.0015430956048269,2.8116071657304342,Increase in aging
DDIT3,1.2375370180487106e-06,0.1544947973819137,1.7301093179957302e-06,healthy,aging,onek1k,CD4T,5.2087473325552e-07,5.88574632272816e-07,6.230198460043662,Inconsistent
DEAF1,4.1299106741335696e-15,0.2476931612288499,3.734493694695249e-14,healthy,aging,onek1k,CD4T,6.89345989457855e-26,2.69414120650501e-25,24.569579645584522,Inconsistent
DMTF1,2.8417044857137373e-10,0.20009907378830907,6.027144611934899e-10,healthy,aging,onek1k,CD4T,7.65137256064136e-12,1.12784938091115e-11,10.947748894507612,Inconsistent
DNMT1,6.6644684135861e-05,0.12729490127877258,8.233718243529337e-05,healthy,aging,onek1k,CD4T,8.18237956236745e-15,1.3615990990502101e-14,13.865950744625565,Increase in aging
DNTTIP1,2.1824071734421135e-08,0.17794819359309316,3.651665546113773e-08,healthy,aging,onek1k,CD4T,7.62103725309715e-16,1.36985732903772e-15,14.863324662360506,Increase in aging
DR1,0.00033885075131182967,0.1144786298989072,0.0004068123426766317,healthy,aging,onek1k,CD4T,4.0524340249298803e-19,9.08598365589542e-19,18.04162804874094,Increase in aging
DRAP1,0.0013904945586832097,0.10218422219635503,0.0015890319840957598,healthy,aging,onek1k,CD4T,6.02586480719014e-12,8.97558883868182e-12,11.04693705015894,Increase in aging
E2F2,8.715333897682066e-14,0.2356887990086629,4.630021133143598e-13,healthy,aging,onek1k,CD4T,6.88766231376805e-47,5.86828829133038e-45,44.23148855872472,Increase in aging
E2F3,0.0013908703484320532,0.10218174334066012,0.0015890319840957598,healthy,aging,onek1k,CD4T,2.03224379151956e-06,2.23704355345563e-06,5.65032556045352,Increase in aging
E2F4,6.238713599350772e-06,0.1440516171873132,8.183497776926167e-06,healthy,aging,onek1k,CD4T,1.8769786986507798e-22,5.5527286501752095e-22,21.255493549039763,Increase in aging
EEA1,1.0787038799847482e-17,-0.26942573452554897,1.9102047874729915e-16,healthy,aging,onek1k,CD4T,6.41356938521274e-35,5.81315012361836e-34,33.23558846131728,Decrease in aging
EGR1,1.2694162561624842e-06,0.1543359182247178,1.7688587176034616e-06,healthy,aging,onek1k,CD4T,5.97678507012987e-06,6.44529901885561e-06,5.190756929477908,Inconsistent
ELF1,1.0610444096344004e-10,0.204783058829098,2.4244294306162376e-10,healthy,aging,onek1k,CD4T,6.7883191594102e-09,8.45562561961622e-09,8.07285425405141,Inconsistent
ELF2,2.9001208979551373e-12,0.22101736235528882,9.705128989219947e-12,healthy,aging,onek1k,CD4T,3.67732576898701e-13,5.80200287995728e-13,12.236422059961269,Inconsistent
ELF4,9.582776827948033e-12,0.21576991534005635,2.801457145960641e-11,healthy,aging,onek1k,CD4T,1.0054867029032e-36,1.22382095839076e-35,34.91228211362056,Increase in aging
ELK3,2.7592139971479516e-11,0.2110115775391267,7.021951789148979e-11,healthy,aging,onek1k,CD4T,2.9809191300996e-37,4.0963598368465494e-36,35.38760190059355,Increase in aging
ELK4,0.0013388699588543671,-0.10253076493143343,0.001550462486411733,healthy,aging,onek1k,CD4T,1.45717670278126e-06,1.61235655944109e-06,5.7925389112440975,Inconsistent
EOMES,1.134189461586193e-07,0.16876748040213527,1.7464873955584493e-07,healthy,aging,onek1k,CD4T,4.32381096635764e-13,6.79683937885002e-13,12.167692993091324,Increase in aging
ESR2,2.0153338987674048e-14,0.24153447007624804,1.4041260770100772e-13,healthy,aging,onek1k,CD4T,1.54687790927972e-26,6.27590466050628e-26,25.202323662556505,Increase in aging
ETS1,0.21937289015683084,-0.03934883887280473,0.229074885298902,healthy,aging,onek1k,CD4T,6.83183419282129e-06,7.29413876226032e-06,5.137025979010896,Inconsistent
ETV3,1.1740525279991178e-07,0.16856970128551865,1.8013441314065888e-07,healthy,aging,onek1k,CD4T,5.31541941542843e-08,6.36058615441717e-08,7.196502860468094,Inconsistent
ETV6,4.679667644153736e-10,0.19768339663684792,9.470755946501608e-10,healthy,aging,onek1k,CD4T,3.17301455748277e-14,5.17894330071901e-14,13.285758843629655,Inconsistent
ETV7,7.153424372298968e-16,0.25431461729864274,9.212743509778975e-15,healthy,aging,onek1k,CD4T,4.3364606897953505e-46,3.0788870897547e-44,43.511606237435096,Increase in aging
FAM200B,0.052739125266997776,0.06202326759256402,0.05703340518695688,healthy,aging,onek1k,CD4T,0.0003811484767627,0.0003875161124126,3.4117102353863,Inconsistent
FLI1,2.99752832592363e-06,0.1488715907022404,4.04428424926204e-06,healthy,aging,onek1k,CD4T,1.54072452562626e-28,7.6319610222882e-28,27.117363856313446,Increase in aging
FOS,1.0652790159252273e-07,0.1691257783357044,1.6629877452718367e-07,healthy,aging,onek1k,CD4T,1.02860894862101e-07,1.21046246439931e-07,6.917048673183835,Inconsistent
FOSB,5.291630963873181e-07,0.15971293709283654,7.572199190727616e-07,healthy,aging,onek1k,CD4T,2.48508428862629e-06,2.72145477366272e-06,5.5651988785844315,Inconsistent
FOSL2,3.830438192512556e-11,0.2095125089236872,9.464745533824629e-11,healthy,aging,onek1k,CD4T,3.46378065871185e-13,5.48539241862917e-13,12.260792298052973,Inconsistent
FOXJ2,1.777228628123823e-13,0.23278650440930054,8.300243592885986e-13,healthy,aging,onek1k,CD4T,9.31142970024668e-23,2.85371874266553e-22,21.544588832387287,Increase in aging
FOXJ3,3.0359379931642086e-14,0.2399143635850803,1.8974612457276304e-13,healthy,aging,onek1k,CD4T,6.56751886926717e-19,1.44961815456364e-18,17.838746380665167,Inconsistent
FOXK1,3.995630360925511e-07,0.16140190283842523,5.815557888333364e-07,healthy,aging,onek1k,CD4T,2.75704993965674e-08,3.35572364083935e-08,7.474213812503798,Inconsistent
FOXN2,4.3035414150438325e-10,0.19809129750572882,8.835773436684197e-10,healthy,aging,onek1k,CD4T,1.56499842165902e-34,1.3605904645443799e-33,32.866272577040206,Increase in aging
FOXN3,0.12558139472274757,0.049063822930257184,0.1334302318929193,healthy,aging,onek1k,CD4T,1.6145744486395e-07,1.8844074386861e-07,6.724825190055779,Inconsistent
FOXO1,0.0013708036708659746,-0.10231498183426178,0.0015788389163090492,healthy,aging,onek1k,CD4T,6.24274392253244e-13,9.7058719379519e-13,12.012965443188438,Decrease in aging
FOXO3,3.1875608149057156e-10,0.19954555951341207,6.673464760270587e-10,healthy,aging,onek1k,CD4T,2.6797831234250097e-18,5.514915993135519e-18,17.258461098635497,Increase in aging
FOXP1,9.306427268961411e-05,-0.12476277600783077,0.00011464439389300289,healthy,aging,onek1k,CD4T,3.0897105429097e-16,5.64899867501946e-16,15.248028527128039,Decrease in aging
FOXP3,3.792196675477397e-15,0.24801986666301565,3.5036599719084645e-14,healthy,aging,onek1k,CD4T,3.35856528396545e-35,3.1103235021071297e-34,33.507194438023525,Increase in aging
GATA3,2.618647134578935e-12,0.22145947659704224,8.903400257568379e-12,healthy,aging,onek1k,CD4T,1.2489473446255899e-36,1.4779210244736202e-35,34.83034877267441,Increase in aging
GATAD2A,9.281660705289734e-16,0.2533430737054239,1.1602075881612168e-14,healthy,aging,onek1k,CD4T,1.6821953498138e-22,5.04658604944141e-22,21.29700231718356,Increase in aging
GATAD2B,2.0771781572564726e-05,0.13578749316631689,2.6670716520664677e-05,healthy,aging,onek1k,CD4T,2.72888299649006e-07,3.12501117339991e-07,6.505148425507986,Inconsistent
GFI1,0.3815592206066244,0.028039356711011945,0.39264568706492825,healthy,aging,onek1k,CD4T,0.0036053689332698,0.0036395430463813,2.438953139673104,Inconsistent
GLIS3,0.8981152884743363,-0.004103784335051369,0.9002334849094172,healthy,aging,onek1k,CD4T,0.0030804816038374,0.0031170668960445,2.5062538771356615,Decrease in aging
GLYR1,5.4758022955639885e-14,0.23756106451325446,3.062126283703546e-13,healthy,aging,onek1k,CD4T,1.7720931473187901e-25,6.80100613295318e-25,24.16742683351928,Increase in aging
GMEB1,1.4900483004890466e-15,0.251566702475176,1.711541966777959e-14,healthy,aging,onek1k,CD4T,9.7543043833669e-29,5.06748008209061e-28,27.295207949641394,Increase in aging
GPBP1,1.7629512408531448e-08,0.1791025721598721,2.985076802241381e-08,healthy,aging,onek1k,CD4T,8.43313726249723e-10,1.10199891835086e-09,8.95781883175872,Inconsistent
GPBP1L1,3.153799267647813e-11,0.21040211471655304,7.838389992691932e-11,healthy,aging,onek1k,CD4T,1.17304687776901e-19,2.7306992892327703e-19,18.563726122715416,Increase in aging
GTF2B,8.912724850611896e-09,0.18274221658746417,1.5460849230653292e-08,healthy,aging,onek1k,CD4T,2.9574352108323303e-09,3.77205808327716e-09,8.423421628487056,Inconsistent
GTF2I,3.697196193042341e-06,0.14750761326682038,4.9724948798828955e-06,healthy,aging,onek1k,CD4T,1.22690603901084e-13,1.97978019931295e-13,12.703383023639644,Inconsistent
GTF3A,2.8314003453460096e-10,0.2001165548852409,6.027144611934899e-10,healthy,aging,onek1k,CD4T,2.5362529619416702e-20,6.20944690682271e-20,19.20694708195103,Increase in aging
HBP1,1.6045692164580116e-07,0.16677046519362643,2.4355068464094816e-07,healthy,aging,onek1k,CD4T,4.18591537888344e-07,4.7425530622456e-07,6.323987801290846,Inconsistent
HIF1A,0.5937924251825699,0.017092723506915663,0.6008613826252195,healthy,aging,onek1k,CD4T,6.48588536056089e-09,8.15040461238625e-09,8.088820830945311,Inconsistent
HIVEP1,0.18859559761206274,0.0421192635134803,0.19790896045710288,healthy,aging,onek1k,CD4T,4.01227820884943e-07,4.55794804525296e-07,6.341230629526101,Inconsistent
HIVEP2,2.0960869851038075e-06,0.15116984497586167,2.855246694452302e-06,healthy,aging,onek1k,CD4T,1.13390896054582e-06,1.26451627537308e-06,5.898075576553477,Inconsistent
HIVEP3,3.169279472779193e-12,0.22063226179451842,1.0441424619621372e-11,healthy,aging,onek1k,CD4T,1.02729706704312e-31,6.9464849295297e-31,30.158234902155737,Increase in aging
HMBOX1,3.4705346561786304e-13,0.2300245427368959,1.446056106741096e-12,healthy,aging,onek1k,CD4T,1.1953757815474902e-19,2.76755479858277e-19,18.557903771176793,Increase in aging
HMG20B,0.0016202211730813665,0.10077298511889732,0.0018460965108835945,healthy,aging,onek1k,CD4T,6.503239273856561e-14,1.05739692010034e-13,12.975761958906673,Increase in aging
HMGA1,0.005817505897036455,0.08821892373765625,0.0065756383144693975,healthy,aging,onek1k,CD4T,2.17994464961896e-06,2.39344438334453e-06,5.620976659799833,Inconsistent
HMGN3,0.014005191747862359,0.07862978679419431,0.015460276604783123,healthy,aging,onek1k,CD4T,4.41939343552364e-11,6.27553867844356e-11,10.202348989363323,Increase in aging
HOXB2,0.30952250682013904,-0.03256165451588807,0.31928899368582303,healthy,aging,onek1k,CD4T,1.3461092052761e-05,1.40894968414649e-05,4.851104515966378,Inconsistent
HSF1,7.475819647589304e-09,0.1836684629660705,1.3021407173055141e-08,healthy,aging,onek1k,CD4T,1.64758589608076e-23,5.31720902826063e-23,22.274316266517534,Increase in aging
HSF2,0.0007607949341652321,-0.10758966398537145,0.0009006625265187288,healthy,aging,onek1k,CD4T,9.00294215387896e-21,2.26938068494227e-20,19.644092645806502,Decrease in aging
IKZF1,0.013348212891813647,-0.07917882750920441,0.014773412705783332,healthy,aging,onek1k,CD4T,6.698640728908351e-09,8.368389884208081e-09,8.077358094177606,Decrease in aging
IKZF2,6.0524859864169604e-15,0.2462235806676145,5.144613088454417e-14,healthy,aging,onek1k,CD4T,3.64044986201428e-31,2.34974491093649e-30,29.628979282317975,Increase in aging
IKZF3,1.7695067829129696e-10,0.20236541925021173,3.9373842028168175e-10,healthy,aging,onek1k,CD4T,5.46758343678457e-22,1.55279369604682e-21,20.80888624074285,Increase in aging
IKZF5,2.4294950788898745e-06,0.15022560752740716,3.298835171016603e-06,healthy,aging,onek1k,CD4T,1.73591345939542e-08,2.13728073324407e-08,7.6701384292204695,Inconsistent
IRF1,3.150665583324797e-13,0.23042580104715685,1.339032872913039e-12,healthy,aging,onek1k,CD4T,1.49854400538715e-12,2.27181404375418e-12,11.643627220089797,Increase in aging
IRF2,0.017231103119014334,0.0762243542885348,0.018874275323662607,healthy,aging,onek1k,CD4T,8.167950015504201e-15,1.3615990990502101e-14,13.865950744625565,Increase in aging
IRF3,3.186336188025199e-08,0.1758826096210651,5.2285439378791876e-08,healthy,aging,onek1k,CD4T,1.9647394270737302e-31,1.30777968114595e-30,29.88346541451473,Inconsistent
IRF4,1.1093136178914167e-50,0.4535278358543952,2.3572914380192608e-48,healthy,aging,onek1k,CD4T,9.79722935885718e-36,9.76807756518719e-35,34.01019090045558,Increase in aging
IRF5,2.286261172240415e-11,0.21186581445086639,5.99790739630973e-11,healthy,aging,onek1k,CD4T,3.88141521482564e-37,5.0105541864112793e-36,35.30011423684936,Increase in aging
IRF7,0.007346568867273071,0.08575927917437723,0.008216557285765935,healthy,aging,onek1k,CD4T,2.54187108918518e-05,2.62188155930481e-05,4.5813869309915365,Increase in aging
IRF9,8.78920236687035e-11,0.20566577030456237,2.03011467713038e-10,healthy,aging,onek1k,CD4T,1.37590880527664e-23,4.5087473157526805e-23,22.345944103227314,Increase in aging
JAZF1,4.00517970137528e-16,0.25646352051664545,5.490972171240304e-15,healthy,aging,onek1k,CD4T,1.1755180845151799e-43,4.55246094548606e-42,41.3417537712294,Increase in aging
JUN,1.6499755605911916e-08,0.17945924334439142,2.804958453005026e-08,healthy,aging,onek1k,CD4T,4.46789019654776e-10,5.98528686707342e-10,9.222915029584824,Inconsistent
JUNB,1.4227021068089594e-07,0.16746559701080221,2.167198549798594e-07,healthy,aging,onek1k,CD4T,9.92438498142755e-08,1.17113241055073e-07,6.93139399995703,Inconsistent
JUND,2.4809959583901373e-08,0.17725100897354507,4.1188409465461267e-08,healthy,aging,onek1k,CD4T,8.57993024748955e-08,1.02096376688004e-07,6.990989670374679,Inconsistent
KAT7,1.601254865071009e-11,0.21347390107405517,4.3402536294578135e-11,healthy,aging,onek1k,CD4T,3.89404529593503e-12,5.841067943902539e-12,11.233507741972884,Inconsistent
KCMF1,3.716498855020265e-18,0.2731154079417754,7.521485778017203e-17,healthy,aging,onek1k,CD4T,6.00110585477603e-21,1.53082101445185e-20,19.81507558459894,Increase in aging
KDM2A,3.0131650650531903e-09,0.1883820393467175,5.5678050115113305e-09,healthy,aging,onek1k,CD4T,9.19711873637716e-10,1.1908731251357701e-09,8.924134505510118,Inconsistent
KDM2B,1.0889308077870772e-11,0.215200733922525,3.1060106933524015e-11,healthy,aging,onek1k,CD4T,5.85425346685857e-22,1.65159733568328e-21,20.782095826390083,Increase in aging
KDM5B,3.824166949285821e-12,0.21981485912912035,1.2220082356740406e-11,healthy,aging,onek1k,CD4T,9.961377378584119e-22,2.7671317510995402e-21,20.55797016235767,Increase in aging
KLF10,2.7183510328796527e-13,0.23103680669918641,1.166968877751366e-12,healthy,aging,onek1k,CD4T,2.15873738850644e-23,6.914452086494311e-23,22.16024222845993,Increase in aging
KLF11,1.9242814453545865e-14,0.2417165304074035,1.3630326904594987e-13,healthy,aging,onek1k,CD4T,1.1643917457749801e-35,1.1022908526669798e-34,33.9577037965533,Increase in aging
KLF12,6.190122616045751e-06,0.14410385390680086,8.144898179007567e-06,healthy,aging,onek1k,CD4T,1.10347942359912e-06,1.23381163898485e-06,5.90875113721811,Inconsistent
KLF13,3.0290252407853225e-09,0.18835515279992238,5.572881936509792e-09,healthy,aging,onek1k,CD4T,1.06569903053353e-18,2.3045065330318897e-18,17.63742205635887,Inconsistent
KLF2,3.379810013164004e-07,0.16239999084471046,4.970308842888241e-07,healthy,aging,onek1k,CD4T,1.74471551479614e-07,2.02520111526745e-07,6.693531842121477,Inconsistent
KLF3,6.845451713124505e-07,0.15814946987215622,9.76280865126817e-07,healthy,aging,onek1k,CD4T,2.19539911791459e-10,3.0169033039729603e-10,9.520438609355654,Inconsistent
KLF4,0.0027480762115011906,0.09575708517377134,0.0031228138767058983,healthy,aging,onek1k,CD4T,1.49774278174738e-08,1.85476286344298e-08,7.731711608249196,Inconsistent
KLF6,1.4150816148658668e-14,0.2429231327829633,1.0369132522724024e-13,healthy,aging,onek1k,CD4T,1.2301161321454e-33,9.887348533847919e-33,32.00492015648217,Increase in aging
KLF7,0.000908078159947035,-0.10602887573634062,0.0010631769090288976,healthy,aging,onek1k,CD4T,1.20538805685861e-11,1.7585455898005698e-11,10.754846368238612,Decrease in aging
KLF8,3.183389535566339e-10,0.19955187930436344,6.673464760270587e-10,healthy,aging,onek1k,CD4T,6.08459809904305e-38,9.96937996227823e-37,36.001331851451106,Increase in aging
KLF9,7.214062577034719e-07,0.157829103595002,1.0254102325216575e-06,healthy,aging,onek1k,CD4T,1.72056538516759e-09,2.20771341590781e-09,8.656057303210824,Inconsistent
KMT2A,8.232084209486769e-11,0.205971799241877,1.9329479497413682e-10,healthy,aging,onek1k,CD4T,7.936862860933659e-13,1.22061501038186e-12,11.913421293656887,Inconsistent
L3MBTL3,8.527463828027102e-08,0.1703917247748146,1.352303032429671e-07,healthy,aging,onek1k,CD4T,1.18332328232889e-15,2.1003988261337803e-15,14.677698233102445,Increase in aging
LCOR,1.9861020660743778e-10,0.20181539732148907,4.373540819075703e-10,healthy,aging,onek1k,CD4T,2.4880709899625603e-10,3.39717385167965e-10,9.468882227373962,Inconsistent
LEF1,5.249700136137235e-14,-0.23773014958413186,2.974830077144433e-13,healthy,aging,onek1k,CD4T,5.346885274325681e-31,3.30112047371412e-30,29.481338625892494,Decrease in aging
