condition	n_young	median_young	n_old	median_old	delta_median	MWU_pval	spearman_r	spearman_p	spearman_n
baseline	2	-0.3232775648781185	97	0.459375820946511	0.7826533858246295		-0.08986080852102427	0.3764049239925206	99
24h_LPS	10	8.22400391197354	261	8.27130491517891	0.04730100320536934	0.7313736195807751	0.06380440962736568	0.2953003604113243	271
24h_polyIC	9	9.12596458850849	145	10.2254958742535	1.0995312857450106	0.0015069545040318527	0.20462843016676677	0.010906535936268183	154
24h_pam3cys	9	9.68721068662253	173	10.2414909725985	0.5542802859759703	0.2991104907698081	0.2218490271130933	0.002613475772356768	182
24h_CPG	9	9.79326427539957	145	10.0423485043685	0.249084228968929	0.05915231823332584	0.12011651615064627	0.13785135669057128	154
24h_influenza	0		10	6.673803513214271			0.03243745600673012	0.9291176779379212	10
7d_influenza	0		39	5.65235072755055			-0.22558860210034923	0.16732841978783927	39
