stimulation	n_young	median_young	n_old	median_old	delta_median	MWU_pval	spearman_r	spearman_p	spearman_n
pbmc_24h_mcp1_cpg	9	10.7980991310081	130	10.86939277423355	0.07129364322545051	0.9965853797270615	0.07199451160751938	0.39965836818484607	139
pbmc_24h_mcp1_polyic	9	10.1321655254781	136	10.072519609016	-0.0596459164621006	0.6492554900082411	-0.1494670563664802	0.0727593059256933	145
pbmc_24h_mcp1_rpmi	91	6.73186206106475	507	7.05463144878297	0.3227693877182203	0.7490278526712351	0.0805197583292109	0.04905538683932025	598
pbmc_7d_mcp1_rpmi	2	10.803771360506499	147	9.99357530325252	-0.8101960572539788		-0.08985076470155531	0.27582884284203296	149
pbmc_7d_mcp1_varilrix	11	9.28831241588755	207	9.75331704893967	0.4650046330521196	0.34877969697089883	0.07662807196145312	0.25993170290892936	218
pbmc_24h_mcp1_lps	98	13.00330854501665	544	12.60022800862515	-0.4030805363914993	0.10397436015530417	0.045571058850172666	0.24890400431102602	642
pbmc_24h_mcp1_pam3cys	95	13.2338652974474	426	12.9693147916404	-0.2645505058069997	0.004843411396948792	-0.034655641185224205	0.4298976034782926	521
pbmc_7d_mcp1_cov-N	65	9.02718723381596	335	9.02278391504765	-0.004403318768309461	0.7005967712658687	-0.004160957683714567	0.9338840782928233	400
pbmc_7d_mcp1_cov-ctrl	62	10.21645051466155	332	10.16952370632325	-0.04692680833830032	0.049059062162658894	-0.1482220095176149	0.0031872019004555094	394
pbmc_7d_mcp1_vzv	0		50	9.715575721906816			-0.39454354602372316	0.004578338839843802	50
pbmc_7d_mcp1_cmv	0		50	10.665201146441401			-0.015002205992588077	0.9176421300329631	50
pbmc_7d_mcp1_hsv	0		50	10.16577287369715			-0.18142539144091244	0.20733823343847446	50
pbmc_7d_mcp1_flu	0		49	10.0036443971178			-0.019276840522264745	0.8954062368706992	49
pbmc_7d_mcp1_vzv-pool	0		50	10.003626676337685			-0.19941839091112254	0.16500731375298366	50
pbmc_7d_mcp1_hsv-pool	0		50	9.596280113387255			-0.39714843066552297	0.004294027441235215	50
pbmc_7d_mcp1_cov-C	0		50	8.967673470380625			-0.1604454507710378	0.2656847927115159	50
