TF,median_LPS,median_NS,effect,U,p,n_LPS,n_NS,FDR,sig
ZNF808,-4.101751751601893,4.682394340937416,-8.78414609253931,28.0,1.2648093336513168e-35,126,90,1.6503969255257243e-34,***
CENPX,5.3176822914847826,8.713859741993573,-3.396177450508791,28.0,1.2648093336513168e-35,126,90,1.6503969255257243e-34,***
CSRNP2,9.088430405691524,-2.8589913404316585,11.947421746123183,11311.0,1.3003127292020857e-35,126,90,1.6503969255257243e-34,***
DNMT1,-3.8986555909897125,7.232683409862449,-11.131339000852162,18.0,9.586979103939583e-36,126,90,1.6503969255257243e-34,***
EGR2,-0.7567086173621791,5.270780887120826,-6.027489504483005,9.0,7.46780334510408e-36,126,90,1.6503969255257243e-34,***
ETV3,6.388907950960013,-6.619132870787716,13.008040821747729,11322.0,9.586979103939583e-36,126,90,1.6503969255257243e-34,***
ETV3L,7.539110406747103,-5.767362685353669,13.306473092100772,11328.0,8.116611985071329e-36,126,90,1.6503969255257243e-34,***
ZNF317,-0.4969865806737723,4.72351741261398,-5.2205039932877515,14.0,8.579965388971758e-36,126,90,1.6503969255257243e-34,***
EHF,5.0499542973297675,-9.670165802080417,14.720120099410185,11334.0,6.870558118456245e-36,126,90,1.6503969255257243e-34,***
FOXN3,-7.765895918085443,8.556011332186195,-16.321907250271636,22.0,1.0711353438399954e-35,126,90,1.6503969255257243e-34,***
IRF2,9.220741804927783,2.0278280684935495,7.1929137364342335,11311.0,1.3003127292020857e-35,126,90,1.6503969255257243e-34,***
HIF1A,4.5905750230045905,-9.071285873476494,13.661860896481084,11315.0,1.1639764054717559e-35,126,90,1.6503969255257243e-34,***
HIVEP1,6.6000584518089696,-6.3670207434300785,12.967079195239048,11319.0,1.0418540028133209e-35,126,90,1.6503969255257243e-34,***
GTF2I,-5.338889631020967,8.183333891051173,-13.52222352207214,13.0,8.34509361315217e-36,126,90,1.6503969255257243e-34,***
HEY1,7.397412565433822,-8.155214215164833,15.552626780598654,11313.0,1.2302693512520917e-35,126,90,1.6503969255257243e-34,***
HES4,9.486646513477162,-1.574264146556213,11.060910660033375,11318.0,1.0711353438399954e-35,126,90,1.6503969255257243e-34,***
ZGLP1,-1.5150800557267607,7.235674060898041,-8.750754116624801,2.0,6.147446299806899e-36,126,90,1.6503969255257243e-34,***
INSM1,7.316631534541488,-2.7728587243616456,10.089490258903133,11316.0,1.1321735535165205e-35,126,90,1.6503969255257243e-34,***
JUND,6.221308728306717,8.655908735760892,-2.4346000074541756,19.0,9.856564770182341e-36,126,90,1.6503969255257243e-34,***
MAZ,-3.092712897942918,10.758011248645204,-13.85072414658812,14.0,8.579965388971758e-36,126,90,1.6503969255257243e-34,***
THRA,-5.473743781128421,6.815417776522766,-12.289161557651187,7.0,7.064168896454208e-36,126,90,1.6503969255257243e-34,***
ZHX2,6.595767940149017,-7.857842296699216,14.453610236848233,11333.0,7.064168896454208e-36,126,90,1.6503969255257243e-34,***
RARG,-0.5224846855267224,4.913748433769271,-5.436233119295993,5.0,6.682221330832607e-36,126,90,1.6503969255257243e-34,***
PLSCR1,4.879984423104316,-8.083016330181442,12.963000753285758,11328.0,8.116611985071329e-36,126,90,1.6503969255257243e-34,***
STAT3,6.317073878074966,-7.866748242713253,14.18382212078822,11332.0,7.263200381667998e-36,126,90,1.6503969255257243e-34,***
NKX3-1,8.36407621179309,-8.341508426533968,16.70558463832706,11329.0,7.894347732089653e-36,126,90,1.6503969255257243e-34,***
NR3C1,4.8550031715056505,-8.829453640863669,13.68445681236932,11318.0,1.0711353438399954e-35,126,90,1.6503969255257243e-34,***
RELB,8.078783406758749,-6.14495054051081,14.223733947269558,11311.0,1.3003127292020857e-35,126,90,1.6503969255257243e-34,***
SOX5,7.431353578913214,-7.311110717973882,14.742464296887096,11315.0,1.1639764054717559e-35,126,90,1.6503969255257243e-34,***
ZBTB10,3.251622944699939,-7.818106272025577,11.069729216725516,11322.0,9.586979103939583e-36,126,90,1.6503969255257243e-34,***
ZBED4,-1.055334372171028,1.996732704469247,-3.052067076640275,14.0,8.579965388971758e-36,126,90,1.6503969255257243e-34,***
YBX1,5.410737521697742,10.259225284001914,-4.848487762304172,5.0,6.682221330832607e-36,126,90,1.6503969255257243e-34,***
SNAI3,0.32758769005513066,4.664921682233205,-4.337333992178074,3.0,6.320802483182334e-36,126,90,1.6503969255257243e-34,***
SNAI1,7.18140119127603,-8.037332388775056,15.218733580051087,11322.0,9.586979103939583e-36,126,90,1.6503969255257243e-34,***
ARNT2,6.201020501373593,-7.459197698150343,13.660218199523936,11329.0,7.894347732089653e-36,126,90,1.6503969255257243e-34,***
