TF,effect_REF,sig_REF,effect_Carrier,sig_Carrier,delta_effect
NFIC,-2.219931842901028,***,-5.111727979506149,***,-2.8917961366051212
SPI1,-1.570167986296914,***,-3.434486703116116,***,-1.8643187168192021
CEBPB,7.227604676273916,***,5.813692643790842,***,-1.4139120324830747
JUND,-1.2653963713893077,***,-2.4346000074541756,***,-1.1692036360648679
GATA2,0.5167333670940087,***,1.5398300214583394,***,1.0230966543643305
MAX,-2.6347082576394114,***,-1.7421557045213893,***,0.8925525531180221
FOS,-7.514820901357403,***,-6.637250220344393,***,0.87757068101301
SPIB,0.5791083057193247,***,1.0097432572253675,***,0.4306349515060428
MEF2A,-1.5548462113257902,***,-1.9177949967817787,***,-0.3629487854559885
ETV6,-0.09055044444062288,***,-0.4106519511151472,***,-0.3201015066745243
FOSL2,12.67964875421169,***,12.38075042257443,***,-0.2988983316372611
PBX3,-13.853286283913395,***,-13.642825961124704,***,0.2104603227886912
