TF,median_LPS,median_NS,effect,U,p,FDR,sig
ZNF786,-4.176567912797772,2.3998234230387214,-6.576391335836494,13.0,8.34509361315217e-36,1.389500571036883e-34,***
CEBPG,-1.2463038730536287,4.497706304879903,-5.744010177933531,5.0,6.682221330832607e-36,1.389500571036883e-34,***
ZNF808,-5.816837373914385,5.320461118059502,-11.137298491973887,21.0,1.0418540028133209e-35,1.389500571036883e-34,***
CENPX,2.6312701041657696,8.804150796444706,-6.172880692278936,10.0,7.678132723193793e-36,1.389500571036883e-34,***
ESRRA,4.370004976857002,6.381938569626207,-2.0119335927692052,22.0,1.0711353438399954e-35,1.389500571036883e-34,***
ETV3,6.172484873618786,-7.821543640145969,13.994028513764755,11319.0,1.0418540028133209e-35,1.389500571036883e-34,***
FOXN3,-8.130110217629538,11.048855973888301,-19.178966191517837,9.0,7.46780334510408e-36,1.389500571036883e-34,***
ETV3L,7.7960717879005035,-7.4991289270590595,15.295200714959563,11324.0,9.06959444956849e-36,1.389500571036883e-34,***
GTF2I,-6.159619857745765,7.115170013437421,-13.274789871183186,15.0,8.821404854060134e-36,1.389500571036883e-34,***
HES4,8.818626691982184,-4.8642097885819755,13.68283648056416,11323.0,9.324721650556583e-36,1.389500571036883e-34,***
HEY1,9.57676548291606,-9.243415084783376,18.820180567699435,11323.0,9.324721650556583e-36,1.389500571036883e-34,***
ZNF317,-3.1823228335671137,6.831508321878347,-10.01383115544546,7.0,7.064168896454208e-36,1.389500571036883e-34,***
THRA,-5.867693222334844,8.67866166374492,-14.546354886079765,18.0,9.586979103939583e-36,1.389500571036883e-34,***
ARNT2,7.910633790730927,-7.753078310277118,15.663712101008045,11326.0,8.579965388971758e-36,1.389500571036883e-34,***
HIF1A,6.329531450195714,-9.751103116261014,16.080634566456727,11322.0,9.586979103939583e-36,1.389500571036883e-34,***
HIVEP1,7.646319706215612,-8.958629792895174,16.604949499110788,11329.0,7.894347732089653e-36,1.389500571036883e-34,***
MAZ,-5.31366965142705,11.118021926307524,-16.431691577734576,14.0,8.579965388971758e-36,1.389500571036883e-34,***
IRF2,6.7833215030107255,-3.6465041222758527,10.429825625286579,11323.0,9.324721650556583e-36,1.389500571036883e-34,***
ZBTB10,4.872270736883157,-7.995981273130444,12.8682520100136,11336.0,6.499015762596762e-36,1.389500571036883e-34,***
DNMT1,-4.048447386084623,6.383514288025305,-10.431961674109928,19.0,9.856564770182341e-36,1.389500571036883e-34,***
STAT3,7.928198650218389,-8.44120318834701,16.369401838565402,11330.0,7.678132723193793e-36,1.389500571036883e-34,***
