TF,median_LPS,median_NS,effect,U,p,n_LPS,n_NS,FDR,sig
KLF6,10.230154825858747,-2.4454259619120817,12.67558078777083,14098.0,1.1176121643555764e-39,136,104,8.155076261782096e-39,***
PBX3,-5.415715102687292,8.437571181226103,-13.853286283913395,44.0,1.0633675291027323e-39,136,104,8.155076261782096e-39,***
FLI1,-8.484451209427693,4.924903790280448,-13.40935499970814,45.0,1.0901544139215253e-39,136,104,8.155076261782096e-39,***
SP100,4.615986934201384,-9.688617836735927,14.304604770937312,14098.0,1.1176121643555764e-39,136,104,8.155076261782096e-39,***
SOX5,6.181887791776914,-8.556222229397292,14.738110021174206,14100.0,1.0633675291027323e-39,136,104,8.155076261782096e-39,***
YY1,2.6803137023086356,3.3964485135438878,-0.7161348112352521,46.0,1.1176121643555764e-39,136,104,8.155076261782096e-39,***
DNMT1,-3.525755223986658,5.855062819085875,-9.380818043072534,47.0,1.1457574828528528e-39,136,104,8.231826838342804e-39,***
NR3C1,4.35931781539326,-9.70549377875403,14.06481159414729,14094.0,1.2344921326054236e-39,136,104,8.604594416816907e-39,***
ARID5B,3.6713346649881653,-8.505836268995665,12.177170933983831,14094.0,1.2344921326054236e-39,136,104,8.604594416816907e-39,***
PLAGL2,7.081348286891801,-7.947580503811153,15.028928790702954,14088.0,1.4329747076536467e-39,136,104,9.238507388556813e-39,***
FOS,-1.610546621805558,5.904274279551846,-7.514820901357403,60.0,1.582613685405878e-39,136,104,9.238507388556813e-39,***
ZNF692,1.8878365200428742,9.040059132501451,-7.152222612458576,56.0,1.4329747076536467e-39,136,104,9.238507388556813e-39,***
ZNF74,-4.235320844936245,7.242817426097479,-11.478138271033725,55.0,1.3978179920794177e-39,136,104,9.238507388556813e-39,***
PRDM8,4.590128699226039,-1.115012081169767,5.705140780395806,14087.0,1.4690105120401208e-39,136,104,9.238507388556813e-39,***
PRMT3,-2.095099074757907,1.231903693651592,-3.327002768409499,58.0,1.505947256700656e-39,136,104,9.238507388556813e-39,***
XPA,-6.187776315190932,7.36109140093736,-13.548867716128292,58.0,1.505947256700656e-39,136,104,9.238507388556813e-39,***
PBX2,0.3879639533656731,11.664071896340317,-11.276107942974644,59.0,1.5438073329885658e-39,136,104,9.238507388556813e-39,***
ZBTB48,3.988811259040106,11.610322242912765,-7.62151098387266,60.0,1.582613685405878e-39,136,104,9.238507388556813e-39,***
ZNF219,-1.0194172793773228,12.999097958978494,-14.018515238355818,57.0,1.4690105120401208e-39,136,104,9.238507388556813e-39,***
NFKB2,8.98285474476397,-5.402808337133606,14.385663081897576,14084.0,1.582613685405878e-39,136,104,9.238507388556813e-39,***
ZNF124,-7.493509388601371,4.118309282242658,-11.611818670844029,58.0,1.505947256700656e-39,136,104,9.238507388556813e-39,***
IRF9,9.404493289845728,-3.1949622920496323,12.599455581895361,14090.0,1.3635190408050209e-39,136,104,9.238507388556813e-39,***
INSM1,9.873424535668722,-0.3431342294604197,10.216558765129141,14083.0,1.6223898251846193e-39,136,104,9.239707906844112e-39,***
TRERF1,-6.6015279729910805,5.16793757556208,-11.76946554855316,61.0,1.6223898251846193e-39,136,104,9.239707906844112e-39,***
DBP,-4.564685225079775,8.81914127734051,-13.383826502420284,64.0,1.747780876504308e-39,136,104,9.83389963045195e-39,***
TSHZ1,-5.863661816114755,5.539851428483079,-11.403513244597834,67.0,1.8828038136176635e-39,136,104,1.0344345658346458e-38,***
NFATC3,-6.663830598291882,2.4097515247363974,-9.07358212302828,67.0,1.8828038136176635e-39,136,104,1.0344345658346458e-38,***
RREB1,0.8049276588889983,14.462189535843436,-13.657261876954438,69.0,1.978530996019676e-39,136,104,1.0620390518864238e-38,***
ETS2,7.900367203914933,-7.3162152063762385,15.21658241029117,14075.0,1.978530996019676e-39,136,104,1.0620390518864238e-38,***
MSANTD3,7.163865688687494,-7.6783429535722645,14.84220864225976,14074.0,2.0281939011540128e-39,136,104,1.0763256270896863e-38,***
CSRNP2,7.962037303131437,-4.44160515746008,12.403642460591517,14073.0,2.079096111558066e-39,136,104,1.0909414428063112e-38,***
CSRNP1,8.656165643217824,-6.939811518006358,15.595977161224182,14071.0,2.1847421757023548e-39,136,104,1.1211808747835162e-38,***
HIVEP2,4.30041390138401,-10.269618403017986,14.570032304401996,14071.0,2.1847421757023548e-39,136,104,1.1211808747835162e-38,***
SKIL,3.373009333034991,-8.123576295528641,11.496585628563633,14069.0,2.2957243353182215e-39,136,104,1.1527992092404402e-38,***
ZNF503,-1.1888041577871866,12.372181150349604,-13.560985308136791,75.0,2.2957243353182215e-39,136,104,1.1527992092404402e-38,***
USF1,2.1170257554053933,7.875259948218931,-5.758234192813537,76.0,2.3532996489960056e-39,136,104,1.1691392937033347e-38,***
LIN54,3.8283383982514367,-3.9914548913187105,7.819793289570147,14066.0,2.4727923778486795e-39,136,104,1.2155726741635087e-38,***
ZNF263,3.4411921932025495,8.891760846004424,-5.4505686528018735,79.0,2.5347818257839012e-39,136,104,1.2203537243722493e-38,***
FOSL2,8.486368027425652,-4.193280726786039,12.67964875421169,14065.0,2.5347818257839012e-39,136,104,1.2203537243722493e-38,***
REPIN1,0.5297672082833464,10.795074145215592,-10.265306936932246,81.0,2.6634336731723803e-39,136,104,1.2563873993651532e-38,***
GLIS3,9.587428101206843,-3.476462426493833,13.063890527700675,14063.0,2.6634336731723803e-39,136,104,1.2563873993651532e-38,***
NFE2L2,5.160612045857788,-5.487008716537348,10.647620762395135,14062.0,2.730173559792692e-39,136,104,1.2623673786368188e-38,***
ESRRA,5.111132389577816,6.697687123844187,-1.5865547342663708,82.0,2.730173559792692e-39,136,104,1.2623673786368188e-38,***
ZHX3,-1.411427014685739,0.4479540037783223,-1.8593810184640613,86.0,3.014175495142575e-39,136,104,1.366621316729692e-38,***
MTF1,5.639227902529299,-8.461976389366988,14.101204291896288,14058.0,3.014175495142575e-39,136,104,1.366621316729692e-38,***
KLF2,-0.7470804321221078,6.7910678046359205,-7.538148236758028,87.0,3.089650134509934e-39,136,104,1.3873717430924417e-38,***
TGIF1,9.312830293677822,-2.9860192044985614,12.298849498176383,14056.0,3.1670035645772234e-39,136,104,1.3952742119410976e-38,***
MXD1,5.617572252847596,-5.7729948817520205,11.390567134599618,14056.0,3.1670035645772234e-39,136,104,1.3952742119410976e-38,***
KLF7,-6.607232323215568,8.76415467681056,-15.371387000026127,89.0,3.2462822750003196e-39,136,104,1.4168353480608872e-38,***
ZBTB17,9.15501611346269,-4.473989900262633,13.629006013725323,14052.0,3.4961523039572726e-39,136,104,1.5117621536555984e-38,***
ZNF524,2.585792095352282,13.934885043277696,-11.349092947925413,95.0,3.765136489940679e-39,136,104,1.6131364594516486e-38,***
EEA1,0.9773654742189477,3.6037411630906178,-2.6263756888716703,102.0,4.475467458395657e-39,136,104,1.882921894658353e-38,***
HLX,8.467617923544735,-3.104303622719142,11.571921546263876,14042.0,4.475467458395657e-39,136,104,1.882921894658353e-38,***
ZNF18,-6.248279173619732,0.4506075516172826,-6.698886725237014,105.0,4.819291287565914e-39,136,104,2.0094723493690015e-38,***
ZNF526,3.429043266081621,5.464269461901668,-2.035226195820047,106.0,4.9396372907350804e-39,136,104,2.0414253228082147e-38,***
MEF2A,1.1850825875504025,2.7399287988761927,-1.5548462113257902,111.0,5.587681926661663e-39,136,104,2.269084747609562e-38,***
JUNB,7.9056968980811915,-2.0027786275404997,9.908475525621691,14033.0,5.587681926661663e-39,136,104,2.269084747609562e-38,***
ZNF281,2.1994845738518016,-7.55795764328933,9.757442217141133,14032.0,5.7270956811301576e-39,136,104,2.2859433188784476e-38,***
MSC,7.71143456507125,-2.009915208645987,9.721349773717236,14032.0,5.7270956811301576e-39,136,104,2.2859433188784476e-38,***
BHLHE40,3.698581099245024,-0.43331652702560425,4.131897626270629,14031.0,5.869967288437776e-39,136,104,2.303592204790287e-38,***
ZNF558,-0.7857590082623854,5.337329536301363,-6.123088544563748,113.0,5.869967288437776e-39,136,104,2.303592204790287e-38,***
CXXC5,0.09604938453916778,5.048860916845418,-4.95281153230625,115.0,6.166427146531737e-39,136,104,2.399767897858601e-38,***
MBNL2,-4.9553407472380115,5.898589698328694,-10.853930445566705,119.0,6.804734890193215e-39,136,104,2.6262902427439927e-38,***
GPBP1,0.16877619273597122,-6.967910352883072,7.136686545619043,14023.0,7.14810447119997e-39,136,104,2.713955112236086e-38,***
MAX,1.1751150929942216,3.809823350633633,-2.6347082576394114,121.0,7.14810447119997e-39,136,104,2.713955112236086e-38,***
ZFP64,-7.370570619367639,-0.9940561035155047,-6.376514515852135,122.0,7.326194620501894e-39,136,104,2.7591394256245036e-38,***
ZNF385A,0.3076959863853636,14.687436303388061,-14.379740317002698,124.0,7.695715633330738e-39,136,104,2.852300952988456e-38,***
ZNF652,-2.984284265459946,1.3241545559511123,-4.308438821411059,124.0,7.695715633330738e-39,136,104,2.852300952988456e-38,***
BCL6,9.894108096992264,-3.119386964443224,13.013495061435489,14019.0,7.887366314481955e-39,136,104,2.9003150148528134e-38,***
NFKB1,6.638084988559379,-6.331387006856723,12.969471995416102,14018.0,8.083761482764547e-39,136,104,2.926446986396158e-38,***
KLF10,8.898507229029475,-1.3345595081291446,10.23306673715862,14018.0,8.083761482764547e-39,136,104,2.926446986396158e-38,***
ZKSCAN3,-3.3505829698999134,0.24117517202687644,-3.59175814192679,127.0,8.285017883773605e-39,136,104,2.976233347478672e-38,***
SP110,4.584983336168786,-6.446800500519876,11.031783836688662,14016.0,8.491255118176818e-39,136,104,3.0270352215179954e-38,***
THAP11,1.9657617660420956,9.220857434548941,-7.255095668506845,129.0,8.702595711098604e-39,136,104,3.0788728765780666e-38,***
NFIA,-1.9423779101272052,1.6969124498028145,-3.63929035993002,137.0,1.059276734600552e-38,136,104,3.719415301191412e-38,***
SETDB2,-5.4450308571757695,-0.6408114904719262,-4.804219366703843,138.0,1.0856070904671966e-38,136,104,3.783421725732693e-38,***
STAT5A,8.991978612774801,-0.8448301951819506,9.836808807956752,14005.0,1.1125880434536228e-38,136,104,3.848730491058088e-38,***
FAM200B,-4.26063876085249,8.769397108434914,-13.030035869287403,143.0,1.2273432992140534e-38,136,104,4.2144802995070806e-38,***
ZNF664,-5.999183694008457,-2.491337096921681,-3.5078465970867763,144.0,1.257824855277018e-38,136,104,4.287621951929689e-38,***
HMGN3,-9.020292131946993,1.287421822848379,-10.307713954795371,145.0,1.2890589207765696e-38,136,104,4.36225011596129e-38,***
TBX19,-0.7200703596166094,7.189654505164602,-7.909724864781211,147.0,1.353858889602188e-38,136,104,4.54857626938289e-38,***
ZNF169,-2.615612042255889,3.5436950278707107,-6.1593070701266,148.0,1.3874630843125265e-38,136,104,4.6281804312424994e-38,***
ZNF589,-4.153402732182066,1.3431014267317498,-5.496504158913815,149.0,1.4218963933141742e-38,136,104,4.709401529629215e-38,***
ZNF267,4.614107830372701,-4.83408228426481,9.448190114637512,13991.0,1.5683349270969495e-38,136,104,5.157833879959685e-38,***
EGR2,-1.5794565447673548,3.272857691498431,-4.852314236265785,154.0,1.6072288871588677e-38,136,104,5.248782449672666e-38,***
SP1,0.8607948404944004,10.824756828858547,-9.963961988364147,158.0,1.7726303826914137e-38,136,104,5.709092335978553e-38,***
BACH1,10.361286461290117,2.131903811068141,8.229382650221975,13986.0,1.7726303826914137e-38,136,104,5.709092335978553e-38,***
MAFG,9.230467049690088,-0.7747862104052383,10.005253260095326,13985.0,1.816558980982072e-38,136,104,5.810500302182382e-38,***
CASZ1,6.750387994362399,-4.315711629509593,11.066099623871992,13978.0,2.1558877366313925e-38,136,104,6.848976687121499e-38,***
JUND,4.534451088850982,5.79984746024029,-1.2653963713893077,167.0,2.2092521984863548e-38,136,104,6.97108632900762e-38,***
BATF3,9.738650489970201,-3.148068205136856,12.886718695107056,13972.0,2.4964235057501144e-38,136,104,7.824360920706734e-38,***
ZNF689,-0.6318187669793842,0.9288474319471445,-1.5606661989265287,182.0,3.1867661263246004e-38,136,104,9.790919611799924e-38,***
MYCL,-1.86614004636423,12.169846828401894,-14.035986874766124,182.0,3.1867661263246004e-38,136,104,9.790919611799924e-38,***
FOXJ2,-3.570648366945145,9.145084596961508,-12.715732963906653,182.0,3.1867661263246004e-38,136,104,9.790919611799924e-38,***
ZNF609,-3.13881233115559,6.10287519886411,-9.2416875300197,186.0,3.5133417953744093e-38,136,104,1.0723729532286596e-37,***
MEF2D,-1.153947308663394,3.2301810918784764,-4.38412840054187,188.0,3.6888957913733923e-38,136,104,1.1186456717995936e-37,***
CAMTA2,4.411545484538433,13.010876831241454,-8.599331346703021,189.0,3.7799155687911677e-38,136,104,1.131551647836843e-37,***
CENPT,1.6826731348177026,8.819657599752642,-7.1369844649349385,189.0,3.7799155687911677e-38,136,104,1.131551647836843e-37,***
AHRR,2.8583622237566866,8.346242856974186,-5.487880633217499,193.0,4.166868049658893e-38,136,104,1.2394441905673268e-37,***
GTF3A,-3.98151647680287,1.450236429368346,-5.431752906171216,198.0,4.706359613307705e-38,136,104,1.3910569236801886e-37,***
ZNF335,4.398418086391229,9.442069180769852,-5.043651094378624,200.0,4.941111027685331e-38,136,104,1.4421867812056562e-37,***
ZBTB14,-6.154980166182982,0.6503057085346806,-6.805285874717663,200.0,4.941111027685331e-38,136,104,1.4421867812056562e-37,***
ZNF783,-0.44765445341967985,4.443833594557396,-4.8914880479770755,207.0,5.858210823212647e-38,136,104,1.699245002757954e-37,***
ZKSCAN4,-7.526594853073359,-4.2312850502963535,-3.2953098027770054,208.0,6.002357092223053e-38,136,104,1.7303091123877564e-37,***
RUNX1,11.203888925308846,2.921545934574659,8.282342990734186,13932.0,6.615062582167163e-38,136,104,1.895235721393905e-37,***
STAT4,1.0891855964837505,-2.8785457965190426,3.967731393002793,13926.0,7.652556598952988e-38,136,104,2.1659054131582093e-37,***
NFAT5,1.9340013235399036,-1.4429428985660067,3.3769442221059105,13926.0,7.652556598952988e-38,136,104,2.1659054131582093e-37,***
KLF16,2.2797073358827236,2.959673847804483,-0.6799665119217595,219.0,7.84055241847227e-38,136,104,2.2057457707388856e-37,***
SMAD5,-0.11958947065501013,0.1085052777418149,-0.22809474839682503,223.0,8.639565713962357e-38,136,104,2.415974364323605e-37,***
MEF2C,0.24002450111225737,2.8297319362483324,-2.589707435136075,225.0,9.068916795483673e-38,136,104,2.5209429425540923e-37,***
PIN1,6.283521966497132,8.549712222261935,-2.266190255764803,237.0,1.2128546937168857e-37,136,104,3.3514978814543526e-37,***
JDP2,1.3846469043077734,12.80467830452088,-11.420031400213107,238.0,1.242567547210032e-37,136,104,3.4134061443946172e-37,***
SRF,5.834568941067383,1.6945133399164494,4.140055601150934,13903.0,1.3361173013157635e-37,136,104,3.6489285363418806e-37,***
ZBTB40,1.1202436734499415,2.583213006508852,-1.4629693330589104,242.0,1.3688307144108005e-37,136,104,3.716534555987464e-37,***
PLAGL1,1.850371120686221,7.334861382402388,-5.484490261716167,248.0,1.5825183213541263e-37,136,104,4.271884717181369e-37,***
ZNF469,4.080343245169482,1.8154889353741104,2.2648543097953717,13880.0,2.3285126148080804e-37,136,104,6.249513742042377e-37,***
RBPJ,-1.40339710689108,1.4148183192306332,-2.8182154261217134,267.0,2.503137034224635e-37,136,104,6.641846562402866e-37,***
ZNF189,0.986505152583321,-0.5482332428040054,1.5347383953873264,13877.0,2.503137034224635e-37,136,104,6.641846562402866e-37,***
CC2D1A,4.096832003344852,5.203302111440684,-1.1064701080958317,284.0,3.768719041975814e-37,136,104,9.943456455382516e-37,***
AKAP8,6.275673005394662,7.689805784576195,-1.414132779181533,289.0,4.2498887903194384e-37,136,104,1.1149989129658302e-36,***
TIGD5,3.762943913511896,7.032212321487922,-3.269268407976026,290.0,4.35321149321753e-37,136,104,1.1357261270014449e-36,***
RXRB,5.527518135101699,8.630673411134364,-3.1031552760326644,294.0,4.792072444333194e-37,136,104,1.2432765730575563e-36,***
MNT,4.251716386411717,10.00130123854855,-5.749584852136833,295.0,4.90849075566858e-37,136,104,1.2664448524294072e-36,***
ZNF174,-1.3637307453845973,0.0213654369026562,-1.3850961822872534,299.0,5.402953002243333e-37,136,104,1.3863621165096905e-36,***
TBP,0.8383454052688188,1.3821187672794708,-0.543773362010652,303.0,5.946892475080977e-37,136,104,1.5175949649523586e-36,***
SAFB2,4.8297854350593905,10.065938479763913,-5.236153044704523,314.0,7.739745360256597e-37,136,104,1.964381023499908e-36,***
ERF,4.779273994558084,8.756156861685001,-3.9768828671269176,315.0,7.927219435602042e-37,136,104,2.0010872845546777e-36,***
AKAP8L,4.78312659048054,9.025220685494414,-4.242094095013874,324.0,9.831060357569142e-37,136,104,2.468336122034833e-36,***
ATF6B,4.287659015652951,8.69445118314259,-4.406792167489639,329.0,1.107848104205929e-36,136,104,2.7666580998083897e-36,***
MBD3,5.941615075944048,7.206844107485537,-1.2652290315414891,333.0,1.2188682090105813e-36,136,104,3.0277204979145825e-36,***
LYL1,4.627924125080885,11.587704768964777,-6.959780643883891,339.0,1.4064553718817907e-36,136,104,3.475209834226435e-36,***
MLXIP,-2.297801109917631,6.78472958725564,-9.082530697173272,341.0,1.4751523236914345e-36,136,104,3.625769132441578e-36,***
ZNF101,-3.477935889355845,-7.11996809652851,3.6420322071726647,13798.0,1.66183366621889e-36,136,104,4.063226817404302e-36,***
ZNF324,2.7174785124864176,3.6117434895240867,-0.8942649770376692,348.0,1.742918940591878e-36,136,104,4.23928721487712e-36,***
BAZ2B,2.8070578774866792,10.602537740114968,-7.795479862628289,358.0,2.2112314127254067e-36,136,104,5.350492589340751e-36,***
ZNF34,0.3830767312025064,0.817664503079867,-0.43458777187736064,359.0,2.2644437552737294e-36,136,104,5.451006359344492e-36,***
IRF4,1.8182437542617764,-0.8240911101823618,2.6423348644441385,13779.0,2.6115219653200968e-36,136,104,6.190765268043072e-36,***
ZBTB34,3.792011297096681,6.625563458613518,-2.8335521615168373,365.0,2.6115219653200968e-36,136,104,6.190765268043072e-36,***
ZNF511,1.3749539804046353,2.044079462508841,-0.6691254821042056,365.0,2.6115219653200968e-36,136,104,6.190765268043072e-36,***
HMGA2,3.972143751878595,-7.049689375401198,11.021833127279793,13775.0,2.871781463701106e-36,136,104,6.773343149234426e-36,***
ZNF703,4.560490868311934,6.209487459011873,-1.648996590699939,378.0,3.5554316117729956e-36,136,104,8.343651068834115e-36,***
ZNF467,2.3802110921942012,13.009600279072743,-10.62938918687854,388.0,4.506023611870877e-36,136,104,1.0521565133718499e-35,***
IKZF3,-4.4896588693555985,-7.049605780071784,2.559946910716185,13745.0,5.845332305051585e-36,136,104,1.3580946201289006e-35,***
ZNF318,-0.4436892989880312,-0.0794257661438961,-0.36426353284413515,407.0,7.061337861411941e-36,136,104,1.632497416474939e-35,***
CEBPB,10.488122700478215,3.2605180242042984,7.227604676273916,13733.0,7.760494887133376e-36,136,104,1.7852961144292052e-35,***
HSF1,6.721944620359845,8.098520996039044,-1.3765763756791989,413.0,8.135448742782461e-36,136,104,1.862379687685985e-35,***
KLF5,3.439060058384084,0.8417402990069112,2.5973197593771724,13726.0,9.153457362239472e-36,136,104,2.085202238129675e-35,***
CENPB,5.537942162030589,7.0060204139946105,-1.4680782519640214,423.0,1.0297951133601853e-35,136,104,2.334535523976731e-35,***
ZNF117,1.9389404324357522,2.8158600284078,-0.8769195959720477,444.0,1.6874535054719764e-35,136,104,3.806960323939193e-35,***
ZNF410,-0.46487830488548154,-4.366980178164718,3.902101873279237,13690.0,2.133684077377151e-35,136,104,4.7905310775727385e-35,***
STAT2,10.8652431974321,3.847619959216045,7.017623238216055,13674.0,3.103497330594585e-35,136,104,6.934608867883594e-35,***
ZBTB43,2.361197453454193,0.9373871121621598,1.4238103412920333,13661.0,4.2050969424425316e-35,136,104,9.307015507680863e-35,***
ETV7,11.010114245519489,2.786278519224949,8.22383572629454,13661.0,4.2050969424425316e-35,136,104,9.307015507680863e-35,***
ZBTB7B,5.457596233890786,11.805063029802426,-6.3474667959116395,485.0,4.406048984352128e-35,136,104,9.705777715530395e-35,***
ZNF865,4.308835546234148,5.14983672796967,-0.8410011817355221,501.0,6.397599092284313e-35,136,104,1.4026660920642132e-34,***
IRF5,1.4912888948775076,2.8265389949718305,-1.3352501000943229,502.0,6.548277708184754e-35,136,104,1.4289933129543364e-34,***
