TF,median_LPS,median_NS,effect,U,p,n_LPS,n_NS,FDR,sig
ZNF808,-5.45601411674523,4.699006155226184,-10.155020271971413,22.0,6.1460632903548506e-40,136,104,7.535547257243951e-39,***
ZNF786,-3.809456122479112,2.1411815152862523,-5.9506376377653645,33.0,8.085971314148296e-40,136,104,7.535547257243951e-39,***
ZNF780A,-2.493006678887937,1.5288284670862309,-4.021835145974167,29.0,7.3186605244349534e-40,136,104,7.535547257243951e-39,***
ZNF706,-2.3042109285906838,3.7882148983440045,-6.092425826934688,0.0,3.5462942686633207e-40,136,104,7.535547257243951e-39,***
ZNF616,-1.7595102014782165,-0.08042288109257037,-1.679087320385646,33.0,8.085971314148296e-40,136,104,7.535547257243951e-39,***
FOXN3,-7.317119821534659,9.845897185886653,-17.16301700742131,12.0,4.787763439879018e-40,136,104,7.535547257243951e-39,***
ETV3L,7.067227153975684,-6.7630289777353,13.830256131710984,14126.0,5.561981447646399e-40,136,104,7.535547257243951e-39,***
ETV3,5.239563565856422,-7.458739214239456,12.698302780095878,14108.0,8.71348076854761e-40,136,104,7.535547257243951e-39,***
SMAD1,-1.7282779593451132,4.032886974982186,-5.761164934327299,22.0,6.1460632903548506e-40,136,104,7.535547257243951e-39,***
SNAI1,7.086568772522852,-8.867065218203559,15.95363399072641,14108.0,8.71348076854761e-40,136,104,7.535547257243951e-39,***
SNAI3,1.1825370604056795,5.163916504864655,-3.981379444458976,10.0,4.554299316396011e-40,136,104,7.535547257243951e-39,***
SNAPC2,3.3820716906614607,10.56756499613821,-7.185493305476749,10.0,4.554299316396011e-40,136,104,7.535547257243951e-39,***
ZNF317,-2.975622555090739,6.2205721959596145,-9.196194751050353,6.0,4.120795813519953e-40,136,104,7.535547257243951e-39,***
HEY1,8.591452252818195,-8.201785816904174,16.79323806972237,14112.0,7.88695437633916e-40,136,104,7.535547257243951e-39,***
HES4,8.83716690323295,-3.769709870518903,12.606876773751853,14140.0,3.919690133599643e-40,136,104,7.535547257243951e-39,***
GTF2I,-5.344466220400799,6.581609813483493,-11.926076033884293,35.0,8.499108441503394e-40,136,104,7.535547257243951e-39,***
STAT3,6.7712881509480365,-8.31601426837714,15.087302419325177,14135.0,4.441848399421282e-40,136,104,7.535547257243951e-39,***
ZBTB10,3.6686718789749415,-7.987950105510635,11.656621984485575,14132.0,4.787763439879018e-40,136,104,7.535547257243951e-39,***
ZBTB2,0.09064922887265034,-9.404320313640838,9.494969542513488,14109.0,8.499108441503394e-40,136,104,7.535547257243951e-39,***
HIF1A,5.050721810169829,-9.223005058962901,14.27372686913273,14111.0,8.085971314148296e-40,136,104,7.535547257243951e-39,***
HIC2,2.5720317525425047,5.0214038155449785,-2.449372063002474,11.0,4.669580719969133e-40,136,104,7.535547257243951e-39,***
IRF7,9.841803765235365,-2.236572323884073,12.078376089119438,14113.0,7.69280883509074e-40,136,104,7.535547257243951e-39,***
HMG20B,3.273153029730903,10.006325802530558,-6.733172772799655,2.0,3.7283467274775086e-40,136,104,7.535547257243951e-39,***
HIVEP1,6.287558803598348,-8.903908634632437,15.191467438230784,14131.0,4.908920067770123e-40,136,104,7.535547257243951e-39,***
RELA,10.017723732679986,-5.755229343855241,15.772953076535227,14131.0,4.908920067770123e-40,136,104,7.535547257243951e-39,***
RELB,8.904336993813583,-6.843080650375834,15.747417644189417,14111.0,8.085971314148296e-40,136,104,7.535547257243951e-39,***
ZBED3,-8.119414656795612,2.727690437692247,-10.847105094487858,22.0,6.1460632903548506e-40,136,104,7.535547257243951e-39,***
YBX1,4.81835916265114,10.125332003347797,-5.306972840696657,0.0,3.5462942686633207e-40,136,104,7.535547257243951e-39,***
PPARG,-0.5729801925978639,6.8885739909959565,-7.461554183593821,8.0,4.332158858693368e-40,136,104,7.535547257243951e-39,***
RARG,-3.3191033598519883,6.48282368658165,-9.801927046433638,9.0,4.441848399421282e-40,136,104,7.535547257243951e-39,***
PLSCR1,5.842545613410644,-8.46244025451276,14.304985867923405,14121.0,6.301371728744853e-40,136,104,7.535547257243951e-39,***
TET3,1.7226765846977865,6.919724374824772,-5.197047790126986,7.0,4.2251632617510754e-40,136,104,7.535547257243951e-39,***
IRF2,6.651650830445031,-3.158302870971588,9.80995370141662,14122.0,6.1460632903548506e-40,136,104,7.535547257243951e-39,***
ZBED4,-1.2970159266713854,4.3939865454601765,-5.6910024721315615,0.0,3.5462942686633207e-40,136,104,7.535547257243951e-39,***
CREM,5.665204406323572,-4.146504855405466,9.811709261729039,14122.0,6.1460632903548506e-40,136,104,7.535547257243951e-39,***
EBF1,2.609605787711034,-6.7001083196009965,9.30971410731203,14121.0,6.301371728744853e-40,136,104,7.535547257243951e-39,***
EHF,6.450844367777442,-7.320361534483858,13.7712059022613,14125.0,5.702610240667078e-40,136,104,7.535547257243951e-39,***
THRA,-4.840577919268581,8.264928747083461,-13.105506666352042,25.0,6.623791946404265e-40,136,104,7.535547257243951e-39,***
ZNF592,4.0540547866083845,9.462349340213873,-5.408294553605488,26.0,6.791101061528871e-40,136,104,7.535547257243951e-39,***
ZNF577,-5.266216470052968,2.1185060154804796,-7.384722485533448,31.0,7.69280883509074e-40,136,104,7.535547257243951e-39,***
MITF,0.5025193851300827,9.247349307858855,-8.744829922728773,1.0,3.6361876906354198e-40,136,104,7.535547257243951e-39,***
MAZ,-3.4504227619807653,11.2842732923156,-14.734696054296364,20.0,5.8467742140327956e-40,136,104,7.535547257243951e-39,***
CEBPG,-0.5923903104341433,4.543845091226123,-5.136235401660266,4.0,3.919690133599643e-40,136,104,7.535547257243951e-39,***
ZGLP1,-2.9625418256078984,8.090915593563544,-11.053457419171442,1.0,3.6361876906354198e-40,136,104,7.535547257243951e-39,***
ARID5A,7.8472592851343865,-6.490119016890569,14.337378302024955,14133.0,4.669580719969133e-40,136,104,7.535547257243951e-39,***
ARNT2,7.199419539495777,-7.3092948681912215,14.508714407686998,14126.0,5.561981447646399e-40,136,104,7.535547257243951e-39,***
CEBPA,0.14845372549336766,12.975814388469537,-12.827360662976169,36.0,8.71348076854761e-40,136,104,7.535547257243951e-39,***
BATF,8.071297045503986,-9.094093399360936,17.165390444864922,14133.0,4.669580719969133e-40,136,104,7.535547257243951e-39,***
CREB3L2,1.6778745573151594,2.8713662917699203,-1.1934917344547609,0.0,3.5462942686633207e-40,136,104,7.535547257243951e-39,***
CREB5,-2.5546946474466985,1.767314719124859,-4.3220093665715575,0.0,3.5462942686633207e-40,136,104,7.535547257243951e-39,***
ZHX2,4.421589872546117,-4.668958928426043,9.09054880097216,14138.0,4.120795813519953e-40,136,104,7.535547257243951e-39,***
KDM2B,-0.8992541286099314,13.165685135454321,-14.064939264064252,33.0,8.085971314148296e-40,136,104,7.535547257243951e-39,***
NKX3-1,6.899636944958261,-10.33268484409163,17.23232178904989,14129.0,5.160454486046227e-40,136,104,7.535547257243951e-39,***
NFXL1,-7.198735373390592,7.444632839444767,-14.643368212835359,26.0,6.791101061528871e-40,136,104,7.535547257243951e-39,***
ZBTB32,3.48374461816638,-7.448090918508157,10.931835536674537,14106.0,9.158486904924032e-40,136,104,7.776387971999133e-39,***
HHEX,-4.018097548955202,4.173271079422127,-8.19136862837733,40.0,9.626085148776175e-40,136,104,8.027467436568704e-39,***
TFEB,2.1170893234126287,13.33371343952889,-11.216624116116261,41.0,9.86871037255522e-40,136,104,8.085417094707522e-39,***
CENPX,4.2122784229843315,9.59505006997913,-5.382771646994799,43.0,1.037235210870476e-39,136,104,8.155076261782096e-39,***
