TF,rho_REF,pval_REF,fdr_REF,sig_REF,rho_Carrier,pval_Carrier,fdr_Carrier,sig_Carrier,motif_loss_tf,delta_rho,in_REF_GRN,in_Carrier_GRN,z_stat,pval_fisher,pval_fdr,sig_fdr05,sig_fdr10
CEBPB,0.555723094808555,7.056754796784345e-20,4.680412690212671e-19,True,0.5449978245414885,1.4476964093699647e-17,1.1581571274959718e-16,True,False,-0.010725270267066489,True,True,0.15955618835293245,0.8732306933512648,0.9940455642591193,False,False
FOS,-0.5120523175067995,1.2221220238911844e-16,3.91079047645179e-16,True,-0.41904597908177943,2.7052685833953394e-10,6.183471047760776e-10,True,False,0.09300633842502004,True,True,-1.2337738579413462,0.21728718331283048,0.9940455642591193,False,False
FOSL2,0.5277363149053167,9.495313035501114e-18,3.7981252142004456e-17,True,0.5272168978616704,2.384711362096711e-16,9.538845448386845e-16,True,False,-0.0005194170436463308,True,True,0.007462847765964853,0.9940455642591193,0.9940455642591193,False,False
GATA2,0.3977795052419376,4.5930580937790986e-10,1.049841850006651e-09,True,0.3902287058059865,5.193147206639091e-09,9.232261700691717e-09,True,False,-0.0075507994359511055,True,True,0.0926935835377974,0.9261469946602665,0.9940455642591193,False,False
GATA3,-0.3498066521552625,5.78544249517971e-08,8.41518908389776e-08,True,-0.3484336038091288,2.3413562229585453e-07,3.405609051576066e-07,True,False,0.0013730483461337206,True,True,-0.016215140688710314,0.9870627565289851,0.9940455642591193,False,False
JUN,0.3611126369169255,1.9853897931345585e-08,3.5295818544614374e-08,True,0.40140570141170046,1.7069031302263768e-09,3.4138062604527537e-09,True,False,0.04029306449477493,True,True,-0.4890442539725258,0.6248103666547926,0.9940455642591193,False,False
JUND,-0.454829849608843,4.846608237864049e-13,1.2924288634304131e-12,True,-0.4214120371895396,2.0957014177481972e-10,5.588537113995193e-10,True,False,0.03341781241930336,True,True,-0.4289666973130557,0.6679474605501095,0.9940455642591193,False,False
MAX,-0.5545324049702245,8.77577379414876e-20,4.680412690212671e-19,True,-0.5323407281416979,1.0817358343109066e-16,5.769257782991502e-16,True,False,0.02219167682852663,True,True,-0.3266285575725686,0.7439488413993165,0.9940455642591193,False,False
MEF2A,-0.3575663859315922,2.7893011937059017e-08,4.462881909929443e-08,True,-0.3610446935234908,7.8514097454364e-08,1.2562255592698241e-07,True,False,-0.0034783075918985995,True,True,0.04141779402517134,0.9669628273877326,0.9940455642591193,False,False
MYC,0.3796533786852123,3.1336936619296332e-09,6.2673873238592664e-09,True,0.4582739080317173,3.0085794886380206e-12,9.627454363641666e-12,True,False,0.07862052934650499,True,True,-0.9900361187865081,0.3221564651714792,0.9940455642591193,False,False
NFIC,-0.30698181138405556,2.3077616551421555e-06,3.0770155401895405e-06,True,-0.33517842049876545,7.020083189815637e-07,9.360110919754183e-07,True,False,-0.028196609114709892,True,True,0.32604855002372446,0.7443876227942778,0.9940455642591193,False,False
PBX3,-0.6034205502455481,5.2746572928335536e-24,8.439451668533686e-23,True,-0.6130758886853825,5.808611011454698e-23,9.293777618327518e-22,True,False,-0.00965533843983446,True,True,0.15893063265204338,0.8737235260562703,0.9940455642591193,False,False
TCF12,-0.10196901726878164,0.12472487038493123,0.12472487038493123,False,-0.17600711920610296,0.01079775289794389,0.01079775289794389,True,False,-0.07403810193732131,False,True,0.7833061869188461,0.43344733094334664,0.9940455642591193,False,False
SPI1,-0.26406280891645,5.408424608133135e-05,6.656522594625397e-05,True,-0.24359225457754705,0.000379217991434318,0.0004044991908632725,True,True,0.020470554338902963,True,True,-0.22691305970032327,0.8204913467453991,0.9940455642591193,False,False
SPIB,0.16564105512436084,0.012255379087419652,0.014006147528479602,True,0.24871345590412136,0.00028202800003687353,0.0003471113846607674,True,True,0.08307240077976052,True,True,-0.9007493468878415,0.367721604863924,0.9940455642591193,False,False
ETV6,-0.13277862308125885,0.04520198807081599,0.04821545394220372,True,-0.24408518334999707,0.0003686621407010716,0.0004044991908632725,True,True,-0.11130656026873822,True,True,1.198235149764672,0.23082548500606537,0.9940455642591193,False,False
