group	TF	rho_mean	rho_sd	rho_lo	rho_hi
Carrier_LPS	CEBPB	0.20930538190620035	0.054211954709774114	0.12121542601735662	0.27458211297825125
Carrier_LPS	ETV6	0.30990533743587323	0.061318806068567405	0.23848776103243932	0.4284010013952626
Carrier_LPS	FOS	-0.06559877044620108	0.08366549820962624	-0.19454691352047096	0.05999415498387452
Carrier_LPS	FOSL2	0.044253990535470494	0.06309984790799723	-0.033832441014403476	0.13185439956520595
Carrier_LPS	GATA2	-0.21437383373240934	0.06984315265000988	-0.3359959172941036	-0.12329487774523261
Carrier_LPS	GATA3	-0.24512018119994483	0.07355519851280913	-0.34110711409040323	-0.13577835759651558
Carrier_LPS	JUN	-0.025026545047050024	0.11835935688945125	-0.23250842919613374	0.13327357126307837
Carrier_LPS	JUND	0.004120423450012127	0.1334674012294974	-0.19881604031541275	0.1972378934508589
Carrier_LPS	MAX	-0.022044166592614545	0.10163882888099919	-0.22371598692954267	0.0741684675129958
Carrier_LPS	MEF2A	0.4378219258926186	0.05692422709291227	0.35671731270708196	0.5118466446211947
Carrier_LPS	MYC	-0.22856389767290355	0.07398795573918564	-0.32846266696823784	-0.11212235229419751
Carrier_LPS	NFIC	0.20002856716227063	0.04668390555004728	0.11801608565513275	0.2600588131545384
Carrier_LPS	PBX3	-0.08361546986909903	0.07151752588004053	-0.17712416666209718	0.019506865311769143
Carrier_LPS	SPI1	0.24844822235880365	0.06338580631246396	0.13775246918704734	0.3294287947087486
Carrier_LPS	SPIB	0.027446387712939592	0.0773311210720088	-0.050793248926849756	0.17687950205210917
Carrier_LPS	TCF12	-0.13497401944538562	0.06973734381885903	-0.2530325899121563	-0.041380247605674735
Carrier_RPMI	CEBPB	0.5464450339924447	0.07358523204228697	0.4214851356074425	0.6283171335937267
Carrier_RPMI	ETV6	-0.17386331663422744	0.06616070643489133	-0.28655851638671875	-0.08333023067844944
Carrier_RPMI	FOS	0.23989873535085984	0.07381043099789626	0.12614846978398084	0.3566678494546911
Carrier_RPMI	FOSL2	0.10428825910325994	0.13625046466729926	-0.05133510112195082	0.32383330391797654
Carrier_RPMI	GATA2	0.17092435622061689	0.07732157408128976	0.05822137935014419	0.28372715890598244
Carrier_RPMI	GATA3	-0.25778471763201727	0.08345308858697469	-0.3489549231633865	-0.0998030261551159
Carrier_RPMI	JUN	0.7090100775114891	0.05374792788376275	0.629810367817837	0.7873202592989361
Carrier_RPMI	JUND	0.038285463654891334	0.10373201083713958	-0.10047898341201483	0.15947832216812918
Carrier_RPMI	MAX	-0.5239744478892748	0.05391451610378586	-0.5815172444524356	-0.41645033369693335
Carrier_RPMI	MEF2A	-0.03934652774448514	0.10652052395205061	-0.19276399941307198	0.10270397016865582
Carrier_RPMI	MYC	0.6022141430106848	0.05871494920433856	0.5303411690569488	0.6852877654401647
Carrier_RPMI	NFIC	0.09016715764247393	0.06043900885769923	0.0039335648186312735	0.16720538409386962
Carrier_RPMI	PBX3	-0.37655450091433856	0.07687309655479098	-0.4921839129235963	-0.2649727843207833
Carrier_RPMI	SPI1	0.059394125264381335	0.08108455237244486	-0.08390591563764124	0.16401154645581006
Carrier_RPMI	SPIB	0.089259733337319	0.09621969667804006	-0.07613963594672525	0.22331148924242228
Carrier_RPMI	TCF12	0.19739504501212113	0.11767368191257896	0.051249116301188904	0.3962204240256124
REF_LPS	CEBPB	0.12143293401632169	0.12099097598413977	-0.08357363596030179	0.2668197871587484
REF_LPS	ETV6	0.4056638565728726	0.10883877953045853	0.25579445492798447	0.579266835087852
REF_LPS	FOS	0.0024088675079801556	0.13103630680277592	-0.20872422151385345	0.15262028467590844
REF_LPS	FOSL2	-0.09426477253375838	0.13940116456679277	-0.299935414772764	0.0915236699960087
REF_LPS	GATA2	-0.10350668441268089	0.11301561154617115	-0.2824225744694631	0.06025517474106696
REF_LPS	GATA3	-0.21657117534179723	0.0744756830728093	-0.3384864927590452	-0.10526292101572879
REF_LPS	JUN	-0.19349116685672563	0.10501168422046825	-0.4157038958324306	-0.09420275012788826
REF_LPS	JUND	-0.24480409039524803	0.07961427123452025	-0.35981011168806837	-0.11491151036565332
REF_LPS	MAX	-0.0032375255756855307	0.07318659718491528	-0.09391084180312814	0.1078254793813117
REF_LPS	MEF2A	0.37920236052635536	0.09606149923754471	0.274166256105723	0.5340711881746126
REF_LPS	MYC	-0.153638151293002	0.08369684658979601	-0.2702289441460578	-0.026108959127982282
REF_LPS	NFIC	0.24589759599770572	0.08289266535695881	0.14896740574059328	0.35211939856233987
REF_LPS	PBX3	0.1329074716775745	0.10838564922785339	-0.043720684614771244	0.271997319764629
REF_LPS	SPI1	0.1976826039160691	0.1293035904651888	-0.00813114411294643	0.34922308378774863
REF_LPS	SPIB	-0.15472923223187232	0.10995260214469274	-0.28797884507317517	0.003762015381533458
REF_LPS	TCF12	0.04869684067245711	0.09000168538122857	-0.06833364141267911	0.1933211773770273
REF_RPMI	CEBPB	0.4893825859751721	0.07043269299297499	0.39226018161589227	0.601634170342111
REF_RPMI	ETV6	-0.08112342478976961	0.10337418946988819	-0.1937529990114511	0.07677198561589503
REF_RPMI	FOS	-0.09371234952697634	0.11054221625715996	-0.2652769896443817	0.021724020687438873
