group	TF	jackknife	rho
REF_RPMI	NFIC	3	0.09338838628234798
REF_RPMI	PBX3	3	-0.36880654323585105
REF_RPMI	TCF12	3	0.2786529560277719
REF_RPMI	SPI1	3	-0.05847622554176309
REF_RPMI	SPIB	3	0.23128813381022512
REF_RPMI	ETV6	3	-0.11650536503261097
REF_RPMI	CEBPB	4	0.44229960025247206
REF_RPMI	FOS	4	-0.11834630759520302
REF_RPMI	FOSL2	4	0.043853881758889116
REF_RPMI	GATA2	4	0.11358615611192928
REF_RPMI	GATA3	4	-0.07755628024405638
REF_RPMI	JUN	4	0.6020276667367979
REF_RPMI	JUND	4	0.26104565537555224
REF_RPMI	MAX	4	-0.30510993057016617
REF_RPMI	MEF2A	4	0.08090942562592046
REF_RPMI	MYC	4	0.4424310961498001
REF_RPMI	NFIC	4	0.11687355354512938
REF_RPMI	PBX3	4	-0.3736981906164527
REF_RPMI	TCF12	4	0.2829791710498632
REF_RPMI	SPI1	4	-0.029915316642120764
REF_RPMI	SPIB	4	0.23301073006522194
REF_RPMI	ETV6	4	-0.10033136966126655
REF_RPMI	CEBPB	5	0.45193824952661465
REF_RPMI	FOS	5	-0.11532190195665892
REF_RPMI	FOSL2	5	0.05563591415947822
REF_RPMI	GATA2	5	0.09275720597517356
REF_RPMI	GATA3	5	-0.08385493372606773
REF_RPMI	JUN	5	0.6028034925310329
REF_RPMI	JUND	5	0.2354960025247212
REF_RPMI	MAX	5	-0.27716705238796546
REF_RPMI	MEF2A	5	0.10292183883862822
REF_RPMI	MYC	5	0.441181885125184
REF_RPMI	NFIC	5	0.12730117820324005
REF_RPMI	PBX3	5	-0.37096307595203026
REF_RPMI	TCF12	5	0.288528297917105
REF_RPMI	SPI1	5	-0.014451399116347569
REF_RPMI	SPIB	5	0.21748106459078476
REF_RPMI	ETV6	5	-0.08552493162213338
REF_RPMI	CEBPB	6	0.4558568272669892
REF_RPMI	FOS	6	-0.13075952030296653
REF_RPMI	FOSL2	6	0.06411739953713443
REF_RPMI	GATA2	6	0.11601883021249736
REF_RPMI	GATA3	6	-0.06919314117399537
REF_RPMI	JUN	6	0.6097464759099516
REF_RPMI	JUND	6	0.24963181148748156
REF_RPMI	MAX	6	-0.29480065221965074
REF_RPMI	MEF2A	6	0.07687250157795075
REF_RPMI	MYC	6	0.45997264885335576
REF_RPMI	NFIC	6	0.10010782663580894
REF_RPMI	PBX3	6	-0.3861771512728802
REF_RPMI	TCF12	6	0.2983247422680412
REF_RPMI	SPI1	6	-0.0509152114454029
REF_RPMI	SPIB	6	0.22864506627393225
REF_RPMI	ETV6	6	-0.1017252261729434
REF_RPMI	CEBPB	7	0.4441536924047969
REF_RPMI	FOS	7	-0.13837313275825794
REF_RPMI	FOSL2	7	0.06098779718072796
REF_RPMI	GATA2	7	0.11294182621502208
REF_RPMI	GATA3	7	-0.06447243845992004
REF_RPMI	JUN	7	0.6073926993477804
REF_RPMI	JUND	7	0.23587734062697244
REF_RPMI	MAX	7	-0.289777508941721
REF_RPMI	MEF2A	7	0.061500631180307165
REF_RPMI	MYC	7	0.45371344414054277
REF_RPMI	NFIC	7	0.07943667157584683
REF_RPMI	PBX3	7	-0.38939880075741634
REF_RPMI	TCF12	7	0.2800205133599831
REF_RPMI	SPI1	7	-0.06477487902377445
REF_RPMI	SPIB	7	0.22267515253524087
REF_RPMI	ETV6	7	-0.13190353460972018
REF_RPMI	CEBPB	8	0.4435882600462865
REF_RPMI	FOS	8	-0.15655901535872077
REF_RPMI	FOSL2	8	0.05171733641910372
REF_RPMI	GATA2	8	0.12614401430675362
REF_RPMI	GATA3	8	-0.062447401641068795
REF_RPMI	JUN	8	0.604118451504313
REF_RPMI	JUND	8	0.23838891226593728
REF_RPMI	MAX	8	-0.27696980854197345
REF_RPMI	MEF2A	8	0.07177046076162423
REF_RPMI	MYC	8	0.44298337891857764
REF_RPMI	NFIC	8	0.08414422470018935
REF_RPMI	PBX3	8	-0.40077319587628857
REF_RPMI	TCF12	8	0.2750368188512518
REF_RPMI	SPI1	8	-0.056490637492110245
REF_RPMI	SPIB	8	0.2305912055543867
REF_RPMI	ETV6	8	-0.1252761413843888
REF_RPMI	CEBPB	9	0.4439038501998737
