group	TF	bootstrap	rho
REF_RPMI	CEBPB	0	0.4629548136101279
REF_RPMI	FOS	0	-0.01944577314327625
REF_RPMI	FOSL2	0	-0.05039063745655155
REF_RPMI	GATA2	0	-0.1692974903536465
REF_RPMI	GATA3	0	-0.15011320514047002
REF_RPMI	JUN	0	0.6429222870627253
REF_RPMI	JUND	0	0.20522975860199624
REF_RPMI	MAX	0	-0.25978506967696674
REF_RPMI	MEF2A	0	0.2507031474217928
REF_RPMI	MYC	0	0.5510826238081571
REF_RPMI	NFIC	0	0.1599349469051947
REF_RPMI	PBX3	0	-0.381778755700118
REF_RPMI	TCF12	0	0.3880417105137281
REF_RPMI	SPI1	0	-0.08003443987372046
REF_RPMI	SPIB	0	0.10999713001052328
REF_RPMI	ETV6	0	-0.12475525367518098
REF_RPMI	CEBPB	1	0.43551802433859743
REF_RPMI	FOS	1	-0.028535347092889768
REF_RPMI	FOSL2	1	0.05196826287726102
REF_RPMI	GATA2	1	0.06364007449549712
REF_RPMI	GATA3	1	-0.0975457305406026
REF_RPMI	JUN	1	0.5810138531010027
REF_RPMI	JUND	1	0.24008214914406717
REF_RPMI	MAX	1	-0.4617445212643826
REF_RPMI	MEF2A	1	0.15187386789805343
REF_RPMI	MYC	1	0.5314054647039315
REF_RPMI	NFIC	1	0.2738474883281884
REF_RPMI	PBX3	1	-0.15205245299385162
REF_RPMI	TCF12	1	0.47635023088501677
REF_RPMI	SPI1	1	0.1082225680536776
REF_RPMI	SPIB	1	0.254241396025206
REF_RPMI	ETV6	1	0.08362884914661839
REF_RPMI	CEBPB	2	0.4196400096949905
REF_RPMI	FOS	2	0.03071781199372377
REF_RPMI	FOSL2	2	0.1111224502812823
REF_RPMI	GATA2	2	-0.1444043321299639
REF_RPMI	GATA3	2	-0.20159201949203354
REF_RPMI	JUN	2	0.6589659527241647
REF_RPMI	JUND	2	0.3779770636935363
REF_RPMI	MAX	2	-0.437779847176334
REF_RPMI	MEF2A	2	0.10883902488806113
REF_RPMI	MYC	2	0.37117781377964304
REF_RPMI	NFIC	2	0.19517546657141763
REF_RPMI	PBX3	2	-0.2235333137732648
REF_RPMI	TCF12	2	0.407189600847036
REF_RPMI	SPI1	2	-0.027873097677029248
REF_RPMI	SPIB	2	0.28614254187342936
REF_RPMI	ETV6	2	-0.07434526922733477
REF_RPMI	CEBPB	3	0.5509576686842659
REF_RPMI	FOS	3	-0.09121291943847384
REF_RPMI	FOSL2	3	0.20224253286305624
REF_RPMI	GATA2	3	0.23415844425877144
REF_RPMI	GATA3	3	-0.19397654142243934
REF_RPMI	JUN	3	0.6977427975533685
REF_RPMI	JUND	3	0.2980030232098324
REF_RPMI	MAX	3	-0.1918462627641322
REF_RPMI	MEF2A	3	0.028848055004560325
REF_RPMI	MYC	3	0.4233195354206662
REF_RPMI	NFIC	3	0.18527684055438268
REF_RPMI	PBX3	3	-0.3131956093298551
REF_RPMI	TCF12	3	0.30785077844464137
REF_RPMI	SPI1	3	0.11454393540280762
REF_RPMI	SPIB	3	0.1810928201955519
REF_RPMI	ETV6	3	-0.01648733632252674
REF_RPMI	CEBPB	4	0.5541042158300912
REF_RPMI	FOS	4	-0.027170100133937114
REF_RPMI	FOSL2	4	-0.029019707889533772
REF_RPMI	GATA2	4	0.039926015689776134
REF_RPMI	GATA3	4	-0.15804579373684546
REF_RPMI	JUN	4	0.5644109955992092
REF_RPMI	JUND	4	0.2819184896995982
REF_RPMI	MAX	4	-0.34041711843867595
REF_RPMI	MEF2A	4	0.08298998660628866
REF_RPMI	MYC	4	0.4843293577396518
REF_RPMI	NFIC	4	0.25868996747241535
REF_RPMI	PBX3	4	-0.26163658396581413
REF_RPMI	TCF12	4	0.32382167230052944
REF_RPMI	SPI1	4	0.11016008674022577
REF_RPMI	SPIB	4	0.10009566936666879
REF_RPMI	ETV6	4	0.0531539001211812
REF_RPMI	CEBPB	5	0.519414751128913
REF_RPMI	FOS	5	-0.2709773707171468
REF_RPMI	FOSL2	5	0.10854147001046001
REF_RPMI	GATA2	5	0.2437431436079292
REF_RPMI	GATA3	5	-0.025422863994693474
REF_RPMI	JUN	5	0.6484679949996174
REF_RPMI	JUND	5	0.29537974845013654
REF_RPMI	MAX	5	-0.19566548460341354
REF_RPMI	MEF2A	5	-0.04671275862948696
REF_RPMI	MYC	5	0.5938719799984693
REF_RPMI	NFIC	5	0.022374161287853668
REF_RPMI	PBX3	5	-0.5329106819399445
REF_RPMI	TCF12	5	0.23140801591958574
REF_RPMI	SPI1	5	-0.09746919407097483
REF_RPMI	SPIB	5	0.2670484986095875
REF_RPMI	ETV6	5	-0.1883817639105034
REF_RPMI	CEBPB	6	0.3843111992703476
REF_RPMI	FOS	6	-0.009254593811986964
REF_RPMI	FOSL2	6	-0.08127587108625076
REF_RPMI	GATA2	6	-0.014790767091659383
REF_RPMI	GATA3	6	-0.20077557450553934
REF_RPMI	JUN	6	0.42562840031380145
REF_RPMI	JUND	6	0.0648714498013228
REF_RPMI	MAX	6	-0.282006799033083
REF_RPMI	MEF2A	6	0.11312800168381305
REF_RPMI	MYC	6	0.466346061854618
REF_RPMI	NFIC	6	0.27070484160038777
REF_RPMI	PBX3	6	-0.35488273900259587
REF_RPMI	TCF12	6	0.379451102451096
REF_RPMI	SPI1	6	0.1165594086244395
REF_RPMI	SPIB	6	0.19986988717176807
REF_RPMI	ETV6	6	-0.014624937016461824
REF_RPMI	CEBPB	7	0.47591590978671294
REF_RPMI	FOS	7	-0.05186753750382693
REF_RPMI	FOSL2	7	0.1469665271966527
REF_RPMI	GATA2	7	0.05597509949994898
REF_RPMI	GATA3	7	0.05129349933666701
REF_RPMI	JUN	7	0.6588937646698643
REF_RPMI	JUND	7	0.41798908051842026
REF_RPMI	MAX	7	-0.2647591590978671
REF_RPMI	MEF2A	7	-0.019453515664863762
REF_RPMI	MYC	7	0.5700326563935096
REF_RPMI	NFIC	7	0.1370930707215022
REF_RPMI	PBX3	7	-0.28945555668945816
REF_RPMI	TCF12	7	0.3277885498520257
REF_RPMI	SPI1	7	-0.0612179814266762
REF_RPMI	SPIB	7	0.45104092254311673
REF_RPMI	ETV6	7	-0.192085927135422
REF_RPMI	CEBPB	8	0.6154331893939877
