group	TF	rho_mean	rho_se
REF_RPMI	CEBPB	0.45608090701039505	0.0770416103770211
REF_RPMI	FOS	-0.13665295173402833	0.09820891550737638
REF_RPMI	FOSL2	0.0656176603820573	0.1073192188576912
REF_RPMI	GATA2	0.11485737257242472	0.10443636223820821
REF_RPMI	GATA3	-0.07261471809426484	0.10269617611689077
REF_RPMI	JUN	0.6132825079326912	0.07488662567005865
REF_RPMI	JUND	0.25163578212686294	0.09076532668116502
REF_RPMI	MAX	-0.2858180064577903	0.0933237525559385
REF_RPMI	MEF2A	0.0778964252437773	0.1136072608868876
REF_RPMI	MYC	0.4562572188564043	0.08576473513863672
REF_RPMI	NFIC	0.1012396306092393	0.10773410941759641
REF_RPMI	PBX3	-0.3875047231179448	0.09014293745384536
REF_RPMI	TCF12	0.28820264430198755	0.09765158359188972
REF_RPMI	SPI1	-0.04056567924876662	0.10770122587191222
REF_RPMI	SPIB	0.22681257701902552	0.09531891930824939
REF_RPMI	ETV6	-0.10558557001592977	0.10329738395143814
Carrier_RPMI	CEBPB	0.5288198912006802	0.08090825576789001
Carrier_RPMI	FOS	0.22811540123612425	0.10084769439342882
Carrier_RPMI	FOSL2	0.09302748503101155	0.11231397113644027
Carrier_RPMI	GATA2	0.15327105540111685	0.1076659352232919
Carrier_RPMI	GATA3	-0.22944879746550606	0.11113180331492864
Carrier_RPMI	JUN	0.7096601281886534	0.05394357158851552
Carrier_RPMI	JUND	0.03531645658844242	0.10600898410004013
Carrier_RPMI	MAX	-0.4872165407932383	0.0788752558049883
Carrier_RPMI	MEF2A	-0.013538808217477185	0.12237086123116973
Carrier_RPMI	MYC	0.5784982267109757	0.07670670136354725
Carrier_RPMI	NFIC	0.07391402652369743	0.11294758432394947
Carrier_RPMI	PBX3	-0.40007081227535674	0.09288609765642519
Carrier_RPMI	TCF12	0.16635820492508593	0.11051030890358525
Carrier_RPMI	SPI1	0.04370310245603647	0.11577724236212893
Carrier_RPMI	SPIB	0.08274940316529786	0.10803639524212104
Carrier_RPMI	ETV6	-0.18146128124672978	0.11004527204433834
REF_LPS	CEBPB	0.0842972512728774	0.08554413531548398
REF_LPS	FOS	-0.012013124397963398	0.09025154148194851
REF_LPS	FOSL2	-0.13561730253199394	0.08442017603295608
REF_LPS	GATA2	-0.08735701630659144	0.09424258001392477
REF_LPS	GATA3	-0.1908993136782717	0.08191964216428496
REF_LPS	JUN	-0.13543217627631762	0.0908660604522529
REF_LPS	JUND	-0.21338099456446957	0.08692744282613211
REF_LPS	MAX	0.026504661483418197	0.09172258250015444
REF_LPS	MEF2A	0.38062263485619935	0.07773536729510863
REF_LPS	MYC	-0.10528321521948536	0.08736110073688914
REF_LPS	NFIC	0.20181303323242056	0.08680005136895999
REF_LPS	PBX3	0.0789396845328196	0.08819013206668791
REF_LPS	TCF12	0.053879781890738956	0.0924618586240633
REF_LPS	SPI1	0.14434691929269305	0.0841277381003701
REF_LPS	SPIB	-0.10238135578643183	0.08479103990883395
REF_LPS	ETV6	0.3585379971102243	0.07356616039065685
Carrier_LPS	CEBPB	0.1630153628834335	0.09718465931117296
Carrier_LPS	FOS	-0.054523966053735655	0.09165443146747791
Carrier_LPS	FOSL2	0.020858939989916506	0.10051469718109346
Carrier_LPS	GATA2	-0.21094769245803907	0.09689106183099125
Carrier_LPS	GATA3	-0.2131740001465881	0.08919551805197384
Carrier_LPS	JUN	-0.03571798214733886	0.09291588409722117
Carrier_LPS	JUND	-0.05460214640603586	0.09729259534746691
Carrier_LPS	MAX	0.002020306902303433	0.0941676078973251
Carrier_LPS	MEF2A	0.4320210731585971	0.08015916281805167
Carrier_LPS	MYC	-0.1834752943423633	0.09371734919875191
Carrier_LPS	NFIC	0.15021505149464393	0.0972147527994489
Carrier_LPS	PBX3	-0.0924689221994443	0.09160970237064012
Carrier_LPS	TCF12	-0.11058294335700213	0.090901527667441
Carrier_LPS	SPI1	0.20714861596345063	0.09552259108143163
Carrier_LPS	SPIB	0.0004983997459138544	0.09004076162711946
Carrier_LPS	ETV6	0.31721167108282	0.08847727220915749
