gene,p_value,slope,p_value_adj,neg_log10_adj_pval,ctrl,condition,comparison,age_group,dataset,cell_type,direction
CC2D1A,3.797800036898442e-29,1.015561482662772,1.244509858245182e-27,26.905001658826762,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CDC5L,1.524461024108095e-26,1.426611506740155,1.225321502396318e-25,24.911749945260866,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CEBPB,6.794705226315214e-22,0.9847882227734104,1.7332601355750186e-21,20.7611362515005,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CEBPD,1.584602138288785e-17,1.067127439595311,2.9222532939871094e-17,16.534282143154183,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CEBPG,1.3633013179950917e-29,1.151824229300626,6.452959571843433e-28,27.190241055763835,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CEBPZ,1.187638703848673e-13,0.5903117074092812,1.8878137605952786e-13,12.724040852588445,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CENPS,9.438399448706176e-17,1.139761058328701,1.6753159021453459e-16,15.775903289150813,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CENPX,2.2105538693714066e-21,1.9453345214872293,5.3505451610921535e-21,20.271601965942878,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CGGBP1,0.543048205813386,-0.0170253936732089,0.5521206102064498,0.25796604070288814,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
CHCHD3,1.7794451478219238e-29,1.7562003112101738,7.580436329721394e-28,27.1203057956692,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CLOCK,4.905541145060292e-22,1.3690565611331742,1.2665215319973846e-21,20.89738742241654,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CREB1,5.8089690820523966e-18,0.6718678228981538,1.1146940670965408e-17,16.952844310376214,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CREB3,5.322460552105547e-24,1.0046026690897158,2.0612438138154208e-23,22.68587063474578,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CREB3L2,1.7787475825467328e-25,2.1509382986446157,1.0103286268865443e-24,23.995537341435476,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CREBL2,1.0568472474408084e-24,0.8445898409354167,4.6414116227812816e-24,23.333349914542527,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CREBZF,0.003627413864719,-0.4316041302664564,0.0040772514679955,2.389632502235627,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
CREM,7.704616081146439e-11,1.5754153403957627,1.0940554835227944e-10,9.9609606527953,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CSRNP1,4.551976489020806e-11,1.7467208835743069,6.485424696731984e-11,10.18806157896187,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CTCF,2.3829417102616212e-20,1.3319877584088529,5.371074965986512e-20,19.269938785981033,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CUX1,8.511495930719644e-05,0.3526888209755912,0.0001027166364443,3.9883592104356294,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
CXXC1,2.6244244085135125e-18,0.4294071520967986,5.1050447398482025e-18,17.29200044746854,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DBP,6.05528281894718e-09,0.2311577963211089,8.2413753382476e-09,8.084000306267761,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DDIT3,0.0017496713529174,0.6646482394452011,0.0020090565939159,2.69700782926509,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DEAF1,1.6310508514226813e-17,0.378292639405779,2.994946822008889e-17,16.523610884497753,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DMTF1,0.0003203936462543,0.7614511897701535,0.0003801885607363,3.4200009544980374,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DNMT1,3.783502847750911e-25,2.2262598148096835,1.852611739243549e-24,23.732215588329257,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DNTTIP1,4.049093227496685e-24,1.017905518184172,1.5971423286236925e-23,22.796656380178607,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DR1,2.1586243390892397e-25,2.177228857075331,1.1942519070805402e-24,23.92290405652659,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
DRAP1,9.965773106618516e-18,2.5667482756227926,1.8868530415197726e-17,16.72426192375792,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
E2F2,1.0511144937182545e-23,1.848359530030894,3.611086889709487e-23,22.442362061485287,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
E2F3,6.966720677475876e-20,0.525598322443695,1.5219605172331914e-19,18.8175966139059,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
E2F4,1.414423358850527e-25,1.052709870649334,8.2540322037030745e-25,24.083333841023993,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
EEA1,9.265546892388104e-12,-0.9299989003535748,1.3517544438894973e-11,10.869102194007922,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
EGR1,0.0002069876557443,0.3660806393509768,0.0002469936732411,3.6073141710790764,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ELF1,6.067165141422073e-13,1.2955067889626468,9.33073050630254e-13,12.030084353848691,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ELF2,7.371858018998336e-08,0.6990166471477641,9.752830795320777e-08,7.0108693104192925,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ELF4,1.355126273774527e-23,1.4253658744571671,4.618270341023588e-23,22.33552064825333,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ELK3,5.62863106887359e-26,2.2964883601240214,3.8674142505486286e-25,24.412579306827407,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ELK4,0.6751153991490564,-0.0438119631482156,0.6831333967636533,0.16549448252403165,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
EOMES,5.894624360797353e-18,0.987539701936344,1.1260582859639784e-17,16.94843912936265,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ESR2,1.2992533824622821e-21,0.876725055444016,3.1993175776238856e-21,20.494942647892124,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ETS1,0.0762683789667175,-1.3256074340261144,0.0802230356538807,1.095700908263305,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
ETV3,8.505094132592603e-07,0.9046449234972368,1.108003088833165e-06,5.9554590289024185,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ETV6,1.0875942645927977e-21,1.405526355874744,2.709445360915391e-21,20.567119602611438,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
ETV7,3.922800209574729e-27,1.5981532024860812,4.5165213223752285e-26,25.345195935134196,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Increase in SLE
FAM200B,0.0016525879623884,-0.1165674152257425,0.0019027093837229,2.7206275399756055,healthy,SLE,SLE,Both age groups,perez_sle,CD4T,Decrease in SLE
