gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
ADNP,4.39175207045143e-06,-0.14637914003312397,976,6.040435695604717e-06,healthy,aging,onek1k,Tcm_Naive_CD4,7.73055438660206e-15,1.43808566318449e-14,13.842215243340997,Inconsistent
ADNP2,2.9994420535566595e-09,0.18840541418127812,976,6.323887823436862e-09,healthy,aging,onek1k,Tcm_Naive_CD4,1.67925683237375e-09,2.23551065809756e-09,8.650623255233693,Inconsistent
AEBP1,3.3914892083891066e-05,-0.13227860192127816,976,4.4624858005119825e-05,healthy,aging,onek1k,Tcm_Naive_CD4,2.55464018803815e-29,1.9433512859004499e-28,27.711448687954736,Decrease in aging
AEBP2,1.6294439324517608e-10,0.20275725274454928,976,4.586183253589393e-10,healthy,aging,onek1k,Tcm_Naive_CD4,2.1219116118467202e-17,4.8338735114797e-17,16.315704718013,Inconsistent
AHCTF1,1.7084016466658688e-09,0.19126529710898527,976,3.8014172766125355e-09,healthy,aging,onek1k,Tcm_Naive_CD4,1.5970692530240998e-12,2.65762305386042e-12,11.575506617538323,Inconsistent
AHR,4.7967071299351845e-12,0.21882449818082156,976,1.9792238157499547e-11,healthy,aging,onek1k,Tcm_Naive_CD4,8.044710408984399e-19,2.12337278383285e-18,17.672973753479248,Increase in aging
AIRE,1.2317620004438195e-10,0.20408090358745334,976,3.537154393166374e-10,healthy,aging,onek1k,Tcm_Naive_CD4,3.89710171956614e-41,1.38347111044598e-39,38.85902990533755,Increase in aging
AKAP8,1.7515954468936097e-11,0.21306989278325764,976,6.052260690486049e-11,healthy,aging,onek1k,Tcm_Naive_CD4,2.7739498170209498e-11,4.22036650732473e-11,10.374649832166988,Inconsistent
AKAP8L,8.101346043314491e-15,0.24509604346015712,976,8.828389918996561e-14,healthy,aging,onek1k,Tcm_Naive_CD4,1.5758025854636e-21,5.50239263448765e-21,20.25944842286902,Inconsistent
AKNA,3.300393356136187e-07,0.1625412856193206,976,5.119223271379122e-07,healthy,aging,onek1k,Tcm_Naive_CD4,2.6019544093676097e-11,3.9871675481676297e-11,10.399335514095377,Inconsistent
ANKZF1,0.15389707417430556,0.04567667319446428,976,0.16392545494756858,healthy,aging,onek1k,Tcm_Naive_CD4,4.09529477201756e-07,4.65225486101195e-07,6.3323365016608495,Inconsistent
ARHGAP35,9.86630674047077e-12,0.21564020792474925,976,3.811982149727343e-11,healthy,aging,onek1k,Tcm_Naive_CD4,4.83800383475906e-24,2.1925421634120902e-23,22.65905204623506,Increase in aging
ARID2,7.391496231336498e-10,0.19544262728500583,976,1.7355723195127135e-09,healthy,aging,onek1k,Tcm_Naive_CD4,1.81227196840022e-12,2.99235604084687e-12,11.523986733877175,Inconsistent
ARID3B,1.3611668337302928e-11,0.21420318816592307,976,4.9870336580635726e-11,healthy,aging,onek1k,Tcm_Naive_CD4,6.54011705210325e-19,1.7522577762238898e-18,17.756402004014625,Increase in aging
ARID5A,3.4275694964840246e-10,0.19919487244146875,976,8.722856503028206e-10,healthy,aging,onek1k,Tcm_Naive_CD4,8.58113121691273e-10,1.1792135156144601e-09,8.928407551768656,Inconsistent
ARID5B,5.520561016120142e-18,0.2717518694703847,976,1.283914485814912e-16,healthy,aging,onek1k,Tcm_Naive_CD4,4.96248296144926e-26,2.85678073186133e-25,24.54412309199286,Increase in aging
ARNT,7.175836735143031e-11,0.2066119960018556,976,2.1783790088827059e-10,healthy,aging,onek1k,Tcm_Naive_CD4,4.49463793019893e-18,1.1067721146039e-17,16.955941791549712,Increase in aging
ASH1L,0.002185203014608745,0.09796050385100205,976,0.0025726074271709603,healthy,aging,onek1k,Tcm_Naive_CD4,1.22499622483622e-06,1.34896094044504e-06,5.870000625268624,Inconsistent
ATF1,0.8707187201156852,0.005216009444309995,976,0.8748355934968468,healthy,aging,onek1k,Tcm_Naive_CD4,2.03122757018536e-07,2.36421569644526e-07,6.626312903635701,Increase in aging
ATF2,5.555024466413818e-11,0.2078000586025305,976,1.7488039986858317e-10,healthy,aging,onek1k,Tcm_Naive_CD4,7.74097527293096e-19,2.06103466641787e-18,17.685914703365196,Increase in aging
ATF3,9.192609061061682e-11,0.20545577765936557,976,2.732069126539311e-10,healthy,aging,onek1k,Tcm_Naive_CD4,5.03977706343076e-17,1.1182005359487e-16,15.951480303921821,Increase in aging
ATF4,3.463018406286253e-13,0.23003354795485007,976,2.2642812656487034e-12,healthy,aging,onek1k,Tcm_Naive_CD4,1.02423167897777e-12,1.71780588678949e-12,11.76502591329821,Increase in aging
ATF6,2.5626383949503853e-06,0.14988289281687847,976,3.630404392846379e-06,healthy,aging,onek1k,Tcm_Naive_CD4,1.79672972311742e-10,2.57712748164317e-10,9.588864097861666,Inconsistent
ATF6B,0.014461369219064057,0.07826176064309333,976,0.016433374112572792,healthy,aging,onek1k,Tcm_Naive_CD4,4.79269905887857e-06,5.0914957583099e-06,5.293154613703991,Increase in aging
ATF7,1.3254553468382273e-11,0.21432229589099303,976,4.941390547423216e-11,healthy,aging,onek1k,Tcm_Naive_CD4,3.61037293167313e-23,1.4647798751359599e-22,21.83422763551237,Increase in aging
BACH1,2.8629524346732247e-15,0.24909300460760575,976,4.055849282453735e-14,healthy,aging,onek1k,Tcm_Naive_CD4,4.37186890337868e-15,8.314357825175531e-15,14.080171288687735,Inconsistent
BACH2,2.4567080390307657e-06,-0.1501541209441637,976,3.4919763096591154e-06,healthy,aging,onek1k,Tcm_Naive_CD4,4.31254078471577e-23,1.73315318329143e-22,21.76116305083591,Decrease in aging
BATF,6.802983845085954e-07,0.15818744026069134,976,1.0325957622005466e-06,healthy,aging,onek1k,Tcm_Naive_CD4,1.21737904685364e-24,6.03027295301918e-24,23.219663029599953,Increase in aging
BAZ2A,5.073044783132868e-18,0.27204383219270134,976,1.2682611957832172e-16,healthy,aging,onek1k,Tcm_Naive_CD4,6.875217681082941e-20,2.01989153940782e-19,18.694671949910465,Inconsistent
BAZ2B,6.070758983947337e-11,0.20738887195878317,976,1.8971121824835429e-10,healthy,aging,onek1k,Tcm_Naive_CD4,5.77565452291266e-16,1.17276120501862e-15,14.93079040894187,Increase in aging
BBX,3.667603064540517e-20,0.28848917413133524,976,1.55873130242972e-18,healthy,aging,onek1k,Tcm_Naive_CD4,5.26166842635961e-21,1.73757422451875e-20,19.76005663444409,Inconsistent
BCL11B,0.0016124356137613676,-0.10081770780705974,976,0.0019249582467656776,healthy,aging,onek1k,Tcm_Naive_CD4,7.03881921402695e-12,1.1230475599908199e-11,10.949601851392856,Decrease in aging
BHLHE40,2.690844113622349e-11,0.2111257791956338,976,9.004793293618096e-11,healthy,aging,onek1k,Tcm_Naive_CD4,3.78095037864344e-21,1.2583475478922701e-20,19.900199392844808,Increase in aging
BPTF,4.3863002089598905e-06,0.14638731251049314,976,6.040435695604717e-06,healthy,aging,onek1k,Tcm_Naive_CD4,5.35962278447523e-08,6.56091754651278e-08,7.183035420148435,Inconsistent
CAMTA1,1.793451503900237e-07,0.16612482657075514,976,2.854744903211987e-07,healthy,aging,onek1k,Tcm_Naive_CD4,1.70475023446085e-26,1.07600890496433e-25,24.968184134468082,Increase in aging
CC2D1A,3.284849579516644e-09,0.18793940867669431,976,6.843436623993009e-09,healthy,aging,onek1k,Tcm_Naive_CD4,1.32287569058801e-33,1.61012869768712e-32,31.793139409395767,Increase in aging
CDC5L,5.980844498092993e-06,0.14433340627271535,976,8.17317978035216e-06,healthy,aging,onek1k,Tcm_Naive_CD4,1.75695821375293e-16,3.70526831217202e-16,15.43118033767748,Increase in aging
CEBPB,8.572889474505516e-12,0.21626454388149233,976,3.342640391435637e-11,healthy,aging,onek1k,Tcm_Naive_CD4,1.0141968373816201e-25,5.68484016742855e-25,24.245281741245307,Increase in aging
CEBPD,0.0004907656972255017,0.11137147466027891,976,0.0005976373103748947,healthy,aging,onek1k,Tcm_Naive_CD4,6.61970782533381e-08,8.03417530937949e-08,7.095058695996745,Increase in aging
CEBPG,1.8112068163875458e-12,0.22304818424940773,976,8.84784939039893e-12,healthy,aging,onek1k,Tcm_Naive_CD4,6.04503732388971e-38,1.2875929499885099e-36,35.89022140989064,Increase in aging
CEBPZ,6.09409358831788e-07,0.15885738328900886,976,9.350143592184474e-07,healthy,aging,onek1k,Tcm_Naive_CD4,3.87413476586956e-07,4.41278451941292e-07,6.35528727905966,Inconsistent
CENPS,1.2567304906263273e-06,0.15439867717020206,976,1.8481330744504812e-06,healthy,aging,onek1k,Tcm_Naive_CD4,1.67119134435629e-10,2.41331360235858e-10,9.61738623924979,Inconsistent
CENPX,0.029264076192593618,0.06978159531079045,976,0.0325581999524929,healthy,aging,onek1k,Tcm_Naive_CD4,1.37422401412423e-08,1.73201014797906e-08,7.761449567746849,Inconsistent
CGGBP1,0.002091508202616088,0.09837691287562747,976,0.0024691416280884374,healthy,aging,onek1k,Tcm_Naive_CD4,1.64205674417391e-07,1.92704179894789e-07,6.715108865077012,Inconsistent
CHCHD3,6.47670892576465e-07,0.15848700738928043,976,9.901443501618619e-07,healthy,aging,onek1k,Tcm_Naive_CD4,1.72227396550159e-17,3.9658849151550204e-17,16.401659892611377,Increase in aging
CLOCK,3.6685526345508103e-09,0.18737141504418348,976,7.532052510551181e-09,healthy,aging,onek1k,Tcm_Naive_CD4,4.99115895587164e-23,1.98713431327226e-22,21.701772777308108,Increase in aging
CREB1,1.5843179988854033e-12,0.22362196833389333,976,7.829478482863911e-12,healthy,aging,onek1k,Tcm_Naive_CD4,4.2869763969366997e-19,1.17067432377887e-18,17.93156390685573,Inconsistent
CREB3,5.12930766370152e-09,0.1856373263785233,976,1.0282810174873331e-08,healthy,aging,onek1k,Tcm_Naive_CD4,2.24766053533135e-38,5.98439617531971e-37,36.22297966329535,Increase in aging
CREB3L2,2.504052394876308e-09,0.18932741939271888,976,5.374859938497126e-09,healthy,aging,onek1k,Tcm_Naive_CD4,3.91453898260252e-33,4.27588104253506e-32,31.368974385616966,Increase in aging
CREBL2,8.831623508619563e-08,0.17019297089983873,976,1.4894603139536964e-07,healthy,aging,onek1k,Tcm_Naive_CD4,8.77684724538127e-42,4.1543743628138e-40,39.38149437049264,Increase in aging
CREBZF,1.0167291905853668e-16,-0.26146505084516497,976,1.800457941661587e-15,healthy,aging,onek1k,Tcm_Naive_CD4,1.02042898957542e-22,3.91624098701917e-22,21.407130591610358,Inconsistent
CREM,1.4085947590534588e-08,0.18030816104495245,976,2.6606789893232e-08,healthy,aging,onek1k,Tcm_Naive_CD4,6.59056539858996e-08,8.02165959942663e-08,7.095735771328106,Inconsistent
