gene,p_value,slope,n_samples,p_value_adj,condition,comparison,dataset,cell_type,meta_p,meta_p_adj,neg_log10_adj_pval,trend
NK__B2M__NK__KLRC2,0.3116023263629993,-0.042644580755647546,565,0.6058989728018208,healthy,aging,aida,all,0.391777509862185,0.57079109847791,0.2435228083535862,Inconsistent
CD8T__B2M__NK__KLRC2,0.5676435256721053,-0.024094124898511232,565,0.9135474344531246,healthy,aging,aida,all,0.458163513257913,0.646075083765947,0.18971700743779868,Inconsistent
NK__B2M__NK__KLRD1,0.016976506965283942,-0.0960003950148115,618,0.05968846118636482,healthy,aging,aida,all,4.4812767146686404e-17,7.63036436518068e-16,15.117454723118628,Inconsistent
CD4T__B2M__NK__KLRC2,0.3967832949316571,-0.03571727400520772,565,0.7157602441172529,healthy,aging,aida,all,0.365385692537105,0.538927748037933,0.26846945509479037,Inconsistent
CD8T__B2M__NK__KLRD1,0.541877196749897,0.02458292499492195,618,0.8867061707696235,healthy,aging,aida,all,7.11160703759535e-07,3.6853731708284e-06,5.4335185301044895,Inconsistent
B__B2M__NK__KLRC2,0.30674892274106674,-0.043305507210356226,559,0.5989834238139731,healthy,aging,aida,all,0.335240275944415,0.501989900278964,0.2993050204988826,Inconsistent
CD4T__B2M__NK__KLRD1,0.13965796299052066,-0.05948411309644316,618,0.33538796248731345,healthy,aging,aida,all,6.16016646593936e-16,9.37318946154786e-15,14.02811260443184,Inconsistent
MONO__B2M__NK__KLRC2,0.26967372532693845,-0.04655704842614206,564,0.5478767351457905,healthy,aging,aida,all,0.242151357296874,0.385050114870069,0.41448274271196206,Inconsistent
NK__HLA-B__NK__KLRD1,0.053175047359416985,-0.07781621685469577,618,0.15422225160738645,healthy,aging,aida,all,5.777020774838791e-10,4.6720138931895e-09,8.330495874430211,Inconsistent
MONO__S100A8__B__CD69,0.3454085522315198,0.03814174287514625,614,0.6494102762367617,healthy,aging,aida,all,0.0001332830903437,0.000484542592782,3.3146680411164966,Inconsistent
B__B2M__NK__KLRD1,0.005824324654052299,-0.11134661975737488,612,0.024062799899040456,healthy,aging,aida,all,8.48761290815155e-18,1.55637326806618e-16,15.807886237153216,Inconsistent
MONO__B2M__NK__KLRD1,0.01173253734854294,-0.10139895155381683,617,0.043727675778853024,healthy,aging,aida,all,2.49322367278411e-13,3.00748860384513e-12,11.521796009639507,Inconsistent
NK__HLA-B__CD8T__CD3D,1.5904864173667759e-12,-0.27914634388856713,618,3.7656805016308887e-11,healthy,aging,aida,all,3.54660515859208e-17,6.12217428410756e-16,15.213094311205719,Inconsistent
CD8T__HLA-B__NK__KLRD1,0.29654817966820257,0.042056945850932705,618,0.5854862706977619,healthy,aging,aida,all,0.0005192306487575,0.0016726310345432,2.7765998494346316,Inconsistent
NK__HLA-B__CD4T__CD3D,1.94184433212932e-07,-0.20750561665808528,618,2.203441487164253e-06,healthy,aging,aida,all,4.45880920674842e-17,7.61802009862888e-16,15.118157885874062,Inconsistent
CD8T__HLA-B__CD8T__CD3D,1.9684455011007645e-05,-0.17037598575789303,621,0.00015099591813739718,healthy,aging,aida,all,9.61643147091416e-13,1.0697745765199198e-11,10.970707727443346,Inconsistent
NK__HLA-B__CD8T__CD8B,1.4612833648995424e-12,-0.27959202196953886,618,3.4933657658617864e-11,healthy,aging,aida,all,1.0934955533178598e-28,6.08226526656577e-27,26.215934642841425,Inconsistent
B__HLA-B__NK__KLRD1,0.040496384789410936,-0.08283873663692232,612,0.12398157071200103,healthy,aging,aida,all,2.8304642352554103e-09,2.07153566691353e-08,7.683707584784041,Inconsistent
MONO__S100A8__NK__CD69,0.5808564450750192,-0.022270487665735694,617,0.9261356701422765,healthy,aging,aida,all,2.99407359908597e-05,0.0001204849874358,3.919067063296301,Inconsistent
NK__HLA-B__CD8T__CD8A,0.7958611247490179,-0.010427559883953991,618,1.0,healthy,aging,aida,all,1.55422829267553e-05,6.59361596028279e-05,4.180876351579746,Inconsistent
MONO__S100A8__CD4T__CD69,0.7875145983097975,0.01083776273630199,621,1.0,healthy,aging,aida,all,0.0007685867330729,0.002392751981196,2.6211023155028417,Inconsistent
CD4T__HLA-B__NK__KLRD1,0.3567602367052405,-0.03713280881375434,618,0.6636584911965779,healthy,aging,aida,all,1.82294902501981e-08,1.20074773937489e-07,6.920548222326256,Inconsistent
CD8T__HLA-B__CD4T__CD3D,0.021350651929297814,-0.09235366705234181,621,0.07185234430512129,healthy,aging,aida,all,5.17174382981162e-07,2.7522621043169e-06,5.560310209594168,Inconsistent
B__HLA-B__CD8T__CD3D,9.799461251706803e-14,-0.2943193109152913,614,2.7841777025522365e-12,healthy,aging,aida,all,8.0004545365324e-17,1.33500918032937e-15,14.874515747817998,Inconsistent
MONO__S100A8__CD8T__CD69,0.32336299115822165,0.03972629977812456,620,0.6212438012186692,healthy,aging,aida,all,0.0009353260247773,0.002855025658558,2.5443899843287885,Inconsistent
