ensembl_id,mean_expr,detection_rate,cv,p90_expr,donor_variance_ratio,tau_cell_type,tau_cell_type_max,tau_cell_type_min,tau_cell_type_range,tau_cell_type_variance,n_expressing_cell_types,cell_type_selectivity,peak_cell_type_expr,dominant_peak_celltype,tissue_tau,tissue_entropy,n_tissues_expressing,n_tissues_high_tau,bimodality_score,bimodality_max_celltype,bimodality_mean_celltype,n_bimodal_celltypes,variance_within_celltype_max,outlier_cell_fraction,ae_risk_cardiac,ae_risk_hepatic,ae_risk_renal,ae_risk_neural,ae_risk_immune,ae_risk_hematopoietic,ae_risk_gi,ae_risk_dermal,ae_risk_pulmonary,ae_risk_endocrine,ae_risk_reproductive,ae_risk_musculoskeletal,ae_risk_ocular,overall_safety_risk,multi_system_ae_count,attrition_risk_phase1,attrition_risk_phase2,attrition_risk_phase3,rare_celltype_enrichment,critical_rare_expr_max
ENSG00000000938,0.1700056,0.13688059513383294,4.622055883481672,0.5206244153005106,0.052140883714087496,0.8505378500416861,0.9789409637451172,0.6770341873168946,0.3019067764282226,0.007173909107505025,13.148148148148149,1.0057368697652027,1.1476814,neutrophil,0.8407168021568885,3.914466381072998,27,24,0.2469807816643536,0.48279389665509803,0.27516749358858295,0.2962962962962963,0.8373822,0.023238570578869737,0.0006814791112604421,0.00010036119085539171,1.897441821518443e-05,0.0010649268956920241,0.06464758260379076,0.007563017816057973,1.6341547757820174e-06,0.00044539945013024826,3.0788423174742065e-05,9.153759031629521e-06,1.837975608051435e-06,0.0003934009154933443,2.9285881952008886e-05,0.0749878425960376,4,0.0038710790444877706,0.012985389441650405,0.0005991427737498955,5.633090158400411,0.01146138
ENSG00000001626,0.09628538,0.07833071687411328,7.739195620813427,0.29866411663867815,0.034499109184259524,0.8906976182038492,0.9914973865855824,0.5047258308955601,0.4867715556900223,0.011313853094992424,10.333333333333334,0.5271252739839698,0.6363809,mast cell,0.9432176443246695,3.1819212436676025,27,26,0.28677372288394243,0.5124163808441886,0.29476634476170516,0.4074074074074074,0.40327317,0.018924745723015796,0.0005991520467108762,0.00014336098428596852,1.639164014889792e-05,0.00038611593261486795,0.0010553741168295562,0.00029349850165295507,0.0035522826076316545,0.0016537354086166767,0.00023665353680721362,0.00014720992017105915,0.00420094333372186,0.00035005058483687974,0.000519798479953268,0.013154567093981735,5,0.001543181114839309,0.0002876728075535649,0.00041754729784735956,2.5838776913591768,0.013913702
ENSG00000002549,0.29924068,0.33913328873636694,1.7306023174237979,1.0358815486784334,0.03144605720363814,0.6640061839635465,0.7769412260789138,0.5090822219848633,0.2678590040940505,0.004671411721916806,20.11111111111111,0.535193763009445,0.7854358,endothelial cell,0.6623925429124099,4.624354839324951,27,9,0.2536246401310481,0.44721923443600936,0.25967428957308897,0.1111111111111111,0.50870925,0.014946054876395956,0.0464455025677052,0.0042130325457495526,0.016771252678894778,0.0064346090338922145,0.09079933915905729,0.020527284214211763,0.008000230121552904,0.039925035879611194,0.0038876679144192617,0.0015051131298174038,0.00275012358147323,0.026564443832307053,0.0025332021152594773,0.27035683677395134,13,0.02064871831949399,0.02529775990835467,0.02143662863311534,0.9312184632353707,0.20133334
ENSG00000003400,0.10323807,0.13833524261206598,3.405014260188103,0.37796656814990226,0.019241096116918825,0.7166120576386581,0.9058520577170632,0.49364059849789266,0.4122114592191706,0.009432327247415386,18.11111111111111,0.33643380888012325,0.36830616,plasma cell,0.5613951683044434,4.557357311248779,27,18,0.2558866376442315,0.45855655622925695,0.26743049522438145,0.18518518518518517,0.29603314,0.029996749565777518,0.0018336852032494145,0.0011508517406142581,0.0010581667104830215,0.0010009399343303054,0.04298730521103244,0.012015808371857508,0.004487173600061835,0.002964057359868228,0.0017384329717652638,8.997742633233557e-05,2.2148955406848147e-05,0.001049039962205175,0.0008728316461765111,0.07127041909338314,11,0.00794686773792095,0.009490336925658522,0.0013904403985851436,1.4008694802815749,0.13284265
ENSG00000003436,0.4636007,0.3158327419442034,2.4825907357988606,1.37374172895043,0.08613282821945366,0.8474608017408591,0.9173453194754464,0.7368673086166382,0.1804780108588082,0.0023032845433074867,15.0,1.4132941450736458,2.0417094,endothelial cell of lymphatic vessel,0.6994789563692533,4.343700885772705,27,27,0.22807097455613098,0.4522842182706305,0.25826181000757903,0.18518518518518517,1.1331356,0.014515906039321501,0.06505491641556299,0.00895289674841798,0.002347415316424733,0.0024962831188657325,0.020547436839428723,0.015211495475467138,0.0017574100391436129,0.10607744149204289,0.005073153147769445,0.0028331742737682714,0.00035798368425892093,0.039897135396278385,0.0005913915250793796,0.2711981334725082,12,0.02934845904788523,0.009290160337022155,0.02806879955881563,1.5620600995804848,0.60523754
ENSG00000004468,0.09626196,0.09479974310099638,4.492371114375776,0.3252275443739363,0.0291055323985379,0.8643869589363689,0.9680850289084695,0.6420044898986816,0.32608053900978784,0.005447325651709587,16.0,0.7664407247356282,0.8349273,plasma cell,0.6317754158606896,4.372397422790527,27,26,0.26821019783713146,0.44038584869182323,0.26957616930457173,0.18518518518518517,0.60056114,0.028103466376789607,0.0024144066809880104,0.00016274154882110913,5.526506925966777e-06,0.00026841099903966443,0.029582005320117916,0.015215492722532545,4.80109283593949e-05,0.004611602700309301,0.002241670412922388,8.411207237667839e-05,0.0002483569005355536,0.0020745422020429583,0.00014568345234017893,0.05710256244731167,6,0.008544470179835952,0.005999429790511928,0.0015030312619292488,2.5767726243238758,0.51878035
ENSG00000004487,0.23283455,0.30067255546963606,1.838721347904792,0.881492688700005,0.022914253948629202,0.49431934984322823,0.7115664482116699,0.27687887711958453,0.4346875710920854,0.01394438985179198,19.77777777777778,0.23865385074375,0.43023905,hematopoietic precursor cell,0.5073828330406775,4.699071407318115,27,3,0.24355669069705055,0.4162857899028745,0.25332425685241816,0.1111111111111111,0.3108601,0.016709025412203066,0.05471929299310439,0.005715996394355881,0.0042497510659559945,0.007845384513624641,0.08876298160079206,0.026472068925836447,0.01524817315604196,0.06947469876949883,0.006925440161959113,0.00572571149623944,0.007784575656862419,0.032314778153086615,0.0031676529494446843,0.3284065058368026,13,0.031705426163630576,0.02188551983712315,0.026198991733344914,0.9305896994020062,0.4261764
ENSG00000004779,0.4361748,0.4515177339910573,1.3306128925790073,1.2212585899564956,0.05548130891001337,0.5951095446422071,0.852782204037621,0.38980315860949066,0.4629790454281303,0.01754287494713971,20.11111111111111,0.5280635170959522,0.98199767,smooth muscle cell,0.583256354698768,4.634334564208984,27,6,0.21595836625877957,0.3832499213920856,0.23444486989996471,0.1111111111111111,0.5154024,0.0062802154508574334,0.1326931651837661,0.013349317974562739,0.016982757009702008,0.008405246409484132,0.12895630867168587,0.03879930818532773,0.01904203008254735,0.1033466987454994,0.01486840762082365,0.01126593499210273,0.0045454239262014764,0.08252438258635592,0.0048812948070689685,0.579660276195128,13,0.04578160286652795,0.037560747824529145,0.059699115019726676,0.9554738539671759,0.4956672
ENSG00000004799,0.53203654,0.3312094750807664,2.4879104061561694,1.5344131505047836,0.11793370486656397,0.7838902196138567,0.9327483177185059,0.5571883916854858,0.37555992603302,0.009737342643554843,15.592592592592593,1.227642956575547,1.8326005,macrophage,0.7338277376615084,4.293144702911377,27,21,0.2780790973292597,0.47586690172834145,0.28674270383158085,0.14814814814814814,1.5613039,0.017708382027486275,0.1650770108564234,0.005244197171219791,0.004660698951640698,0.012887237485243504,0.04169583964991598,0.010597236980865034,0.018624632519712143,0.13044530922256004,0.003329779356010946,0.009183373706907087,7.140032951674982e-05,0.11364788357165546,0.001304220954823142,0.516768820756494,12,0.03697507009085817,0.0123594762010853,0.0714812688300353,2.8692466323662913,0.11737702
ENSG00000004948,0.0075804354,0.009142673997773984,24.308226227966703,0.0032877503721803415,0.0015747668329602518,0.9432984974285008,0.9952223777770997,0.7401721818106515,0.2550501959664482,0.002888728948982704,2.7777777777777777,0.10241476477575932,0.0826784,macrophage,0.9478306403526893,2.644430637359619,27,27,0.2809643265639648,0.46531696465775596,0.31669441102130885,0.37037037037037035,0.0935617,0.0048573680478684565,3.858396567492837e-05,4.253426110179384e-07,1.96461254619756e-06,5.09396419218351e-05,0.0001386617150066189,9.811178601049043e-06,4.0046503846920975e-06,4.444437136147536e-05,1.2478545834211988e-05,1.1771151546302198e-08,0.00034336819449484285,0.00010802009467716316,4.727297409241149e-06,0.0007574413816748199,0,1.4995858688227224e-05,2.8534398070692018e-05,3.3212365128518905e-05,3.7171783321998335,4.431624e-06
