targetId,n_trials,pct_reached_phase3,n_reached_phase3,pct_reached_phase2,n_reached_phase2,pct_terminated,n_terminated,pct_withdrawn,n_withdrawn,pct_endpoint_primary,n_endpoint_primary,pct_endpoint_secondary,n_endpoint_secondary,pct_endpoint_either,n_endpoint_either,pct_phase1_to_phase2,n_phase1_to_phase2,targetFromSourceId
ENSG00000005339,4.0,0.0,0.0,14.3,1.0,14.3,1.0,14.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Q92793
ENSG00000005381,6.0,16.7,1.0,83.3,5.0,0.0,0.0,0.0,0.0,33.3,2.0,50.0,3.0,50.0,3.0,100.0,1.0,P05164
ENSG00000005844,50.0,58.0,29.0,80.0,40.0,14.0,7.0,16.0,8.0,26.0,13.0,26.0,13.0,30.0,15.0,0.0,0.0,P20701
ENSG00000005882,8.0,11.1,1.0,77.8,7.0,22.2,2.0,11.1,1.0,11.1,1.0,22.2,2.0,22.2,2.0,0.0,0.0,Q15119
ENSG00000005961,23.0,32.1,9.0,82.1,23.0,14.3,4.0,3.6,1.0,50.0,14.0,53.6,15.0,53.6,15.0,0.0,0.0,P08514
ENSG00000006071,254.0,79.1,220.0,86.3,240.0,13.7,38.0,1.8,5.0,35.3,98.0,34.9,97.0,35.6,99.0,9.1,3.0,Q09428
ENSG00000006116,16.0,43.8,7.0,68.8,11.0,50.0,8.0,18.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,O60359
ENSG00000006210,7.0,0.0,0.0,57.1,4.0,14.3,1.0,14.3,1.0,14.3,1.0,28.6,2.0,28.6,2.0,100.0,2.0,P78423
ENSG00000006283,27.0,34.5,10.0,69.0,20.0,37.9,11.0,10.3,3.0,13.8,4.0,13.8,4.0,13.8,4.0,33.3,1.0,O43497
ENSG00000006432,1.0,0.0,0.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,P80192
ENSG00000006638,3.0,0.0,0.0,100.0,3.0,33.3,1.0,33.3,1.0,33.3,1.0,33.3,1.0,33.3,1.0,,0.0,P21731
ENSG00000007171,17.0,5.9,1.0,52.9,9.0,17.6,3.0,5.9,1.0,11.8,2.0,11.8,2.0,11.8,2.0,0.0,0.0,P35228
ENSG00000007312,14.0,6.7,1.0,13.3,2.0,6.7,1.0,13.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P40259
ENSG00000007314,1349.0,53.5,764.0,81.9,1169.0,12.5,179.0,5.6,80.0,31.0,442.0,31.2,445.0,32.9,470.0,25.1,43.0,P35499
ENSG00000007402,25.0,60.0,15.0,80.0,20.0,32.0,8.0,12.0,3.0,32.0,8.0,32.0,8.0,32.0,8.0,100.0,1.0,Q9NY47
ENSG00000007908,13.0,7.7,1.0,46.2,6.0,15.4,2.0,0.0,0.0,15.4,2.0,30.8,4.0,30.8,4.0,20.0,1.0,P16581
ENSG00000007952,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,100.0,1.0,,0.0,Q9Y5S8
ENSG00000007968,1.0,100.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,Q14209
ENSG00000008018,14.0,5.9,1.0,23.5,4.0,47.1,8.0,5.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,1.0,P20618
ENSG00000008988,37.0,23.9,11.0,82.6,38.0,39.1,18.0,4.3,2.0,37.0,17.0,32.6,15.0,41.3,19.0,0.0,0.0,P60866
